"","Periodo","Sexo","Municipios","value"
"1","2016","Total","26 Rioja, La",315794
"2","2015","Total","26 Rioja, La",317053
"3","2014","Total","26 Rioja, La",319002
"4","2013","Total","26 Rioja, La",322027
"5","2012","Total","26 Rioja, La",323609
"6","2011","Total","26 Rioja, La",322955
"7","2010","Total","26 Rioja, La",322415
"8","2009","Total","26 Rioja, La",321702
"9","2008","Total","26 Rioja, La",317501
"10","2007","Total","26 Rioja, La",308968
"11","2006","Total","26 Rioja, La",306377
"12","2005","Total","26 Rioja, La",301084
"13","2004","Total","26 Rioja, La",293553
"14","2003","Total","26 Rioja, La",287390
"15","2002","Total","26 Rioja, La",281614
"16","2001","Total","26 Rioja, La",270400
"17","2000","Total","26 Rioja, La",264178
"18","1999","Total","26 Rioja, La",265178
"19","1998","Total","26 Rioja, La",263644
"20","1997","Total","26 Rioja, La",NA
"21","1996","Total","26 Rioja, La",264941
"22","2016","Hombres","26 Rioja, La",155969
"23","2015","Hombres","26 Rioja, La",156733
"24","2014","Hombres","26 Rioja, La",158090
"25","2013","Hombres","26 Rioja, La",160159
"26","2012","Hombres","26 Rioja, La",161574
"27","2011","Hombres","26 Rioja, La",161582
"28","2010","Hombres","26 Rioja, La",161884
"29","2009","Hombres","26 Rioja, La",162173
"30","2008","Hombres","26 Rioja, La",160342
"31","2007","Hombres","26 Rioja, La",155773
"32","2006","Hombres","26 Rioja, La",154556
"33","2005","Hombres","26 Rioja, La",151730
"34","2004","Hombres","26 Rioja, La",147214
"35","2003","Hombres","26 Rioja, La",143995
"36","2002","Hombres","26 Rioja, La",140780
"37","2001","Hombres","26 Rioja, La",134506
"38","2000","Hombres","26 Rioja, La",130956
"39","1999","Hombres","26 Rioja, La",131518
"40","1998","Hombres","26 Rioja, La",130708
"41","1997","Hombres","26 Rioja, La",NA
"42","1996","Hombres","26 Rioja, La",131183
"43","2016","Mujeres","26 Rioja, La",159825
"44","2015","Mujeres","26 Rioja, La",160320
"45","2014","Mujeres","26 Rioja, La",160912
"46","2013","Mujeres","26 Rioja, La",161868
"47","2012","Mujeres","26 Rioja, La",162035
"48","2011","Mujeres","26 Rioja, La",161373
"49","2010","Mujeres","26 Rioja, La",160531
"50","2009","Mujeres","26 Rioja, La",159529
"51","2008","Mujeres","26 Rioja, La",157159
"52","2007","Mujeres","26 Rioja, La",153195
"53","2006","Mujeres","26 Rioja, La",151821
"54","2005","Mujeres","26 Rioja, La",149354
"55","2004","Mujeres","26 Rioja, La",146339
"56","2003","Mujeres","26 Rioja, La",143395
"57","2002","Mujeres","26 Rioja, La",140834
"58","2001","Mujeres","26 Rioja, La",135894
"59","2000","Mujeres","26 Rioja, La",133222
"60","1999","Mujeres","26 Rioja, La",133660
"61","1998","Mujeres","26 Rioja, La",132936
"62","1997","Mujeres","26 Rioja, La",NA
"63","1996","Mujeres","26 Rioja, La",133758
"64","2016","Total","26001 Ábalos",249
"65","2015","Total","26001 Ábalos",252
"66","2014","Total","26001 Ábalos",294
"67","2013","Total","26001 Ábalos",348
"68","2012","Total","26001 Ábalos",357
"69","2011","Total","26001 Ábalos",364
"70","2010","Total","26001 Ábalos",369
"71","2009","Total","26001 Ábalos",387
"72","2008","Total","26001 Ábalos",371
"73","2007","Total","26001 Ábalos",377
"74","2006","Total","26001 Ábalos",339
"75","2005","Total","26001 Ábalos",341
"76","2004","Total","26001 Ábalos",289
"77","2003","Total","26001 Ábalos",269
"78","2002","Total","26001 Ábalos",266
"79","2001","Total","26001 Ábalos",264
"80","2000","Total","26001 Ábalos",276
"81","1999","Total","26001 Ábalos",280
"82","1998","Total","26001 Ábalos",271
"83","1997","Total","26001 Ábalos",NA
"84","1996","Total","26001 Ábalos",289
"85","2016","Hombres","26001 Ábalos",149
"86","2015","Hombres","26001 Ábalos",150
"87","2014","Hombres","26001 Ábalos",180
"88","2013","Hombres","26001 Ábalos",227
"89","2012","Hombres","26001 Ábalos",229
"90","2011","Hombres","26001 Ábalos",235
"91","2010","Hombres","26001 Ábalos",231
"92","2009","Hombres","26001 Ábalos",239
"93","2008","Hombres","26001 Ábalos",224
"94","2007","Hombres","26001 Ábalos",235
"95","2006","Hombres","26001 Ábalos",201
"96","2005","Hombres","26001 Ábalos",197
"97","2004","Hombres","26001 Ábalos",164
"98","2003","Hombres","26001 Ábalos",152
"99","2002","Hombres","26001 Ábalos",152
"100","2001","Hombres","26001 Ábalos",151
"101","2000","Hombres","26001 Ábalos",157
"102","1999","Hombres","26001 Ábalos",157
"103","1998","Hombres","26001 Ábalos",147
"104","1997","Hombres","26001 Ábalos",NA
"105","1996","Hombres","26001 Ábalos",168
"106","2016","Mujeres","26001 Ábalos",100
"107","2015","Mujeres","26001 Ábalos",102
"108","2014","Mujeres","26001 Ábalos",114
"109","2013","Mujeres","26001 Ábalos",121
"110","2012","Mujeres","26001 Ábalos",128
"111","2011","Mujeres","26001 Ábalos",129
"112","2010","Mujeres","26001 Ábalos",138
"113","2009","Mujeres","26001 Ábalos",148
"114","2008","Mujeres","26001 Ábalos",147
"115","2007","Mujeres","26001 Ábalos",142
"116","2006","Mujeres","26001 Ábalos",138
"117","2005","Mujeres","26001 Ábalos",144
"118","2004","Mujeres","26001 Ábalos",125
"119","2003","Mujeres","26001 Ábalos",117
"120","2002","Mujeres","26001 Ábalos",114
"121","2001","Mujeres","26001 Ábalos",113
"122","2000","Mujeres","26001 Ábalos",119
"123","1999","Mujeres","26001 Ábalos",123
"124","1998","Mujeres","26001 Ábalos",124
"125","1997","Mujeres","26001 Ábalos",NA
"126","1996","Mujeres","26001 Ábalos",121
"127","2016","Total","26002 Agoncillo",1103
"128","2015","Total","26002 Agoncillo",1123
"129","2014","Total","26002 Agoncillo",1173
"130","2013","Total","26002 Agoncillo",1161
"131","2012","Total","26002 Agoncillo",1164
"132","2011","Total","26002 Agoncillo",1159
"133","2010","Total","26002 Agoncillo",1102
"134","2009","Total","26002 Agoncillo",1191
"135","2008","Total","26002 Agoncillo",1141
"136","2007","Total","26002 Agoncillo",1137
"137","2006","Total","26002 Agoncillo",1138
"138","2005","Total","26002 Agoncillo",1007
"139","2004","Total","26002 Agoncillo",955
"140","2003","Total","26002 Agoncillo",947
"141","2002","Total","26002 Agoncillo",930
"142","2001","Total","26002 Agoncillo",900
"143","2000","Total","26002 Agoncillo",875
"144","1999","Total","26002 Agoncillo",892
"145","1998","Total","26002 Agoncillo",879
"146","1997","Total","26002 Agoncillo",NA
"147","1996","Total","26002 Agoncillo",885
"148","2016","Hombres","26002 Agoncillo",608
"149","2015","Hombres","26002 Agoncillo",634
"150","2014","Hombres","26002 Agoncillo",662
"151","2013","Hombres","26002 Agoncillo",657
"152","2012","Hombres","26002 Agoncillo",657
"153","2011","Hombres","26002 Agoncillo",650
"154","2010","Hombres","26002 Agoncillo",616
"155","2009","Hombres","26002 Agoncillo",684
"156","2008","Hombres","26002 Agoncillo",645
"157","2007","Hombres","26002 Agoncillo",630
"158","2006","Hombres","26002 Agoncillo",626
"159","2005","Hombres","26002 Agoncillo",539
"160","2004","Hombres","26002 Agoncillo",504
"161","2003","Hombres","26002 Agoncillo",498
"162","2002","Hombres","26002 Agoncillo",485
"163","2001","Hombres","26002 Agoncillo",471
"164","2000","Hombres","26002 Agoncillo",458
"165","1999","Hombres","26002 Agoncillo",467
"166","1998","Hombres","26002 Agoncillo",460
"167","1997","Hombres","26002 Agoncillo",NA
"168","1996","Hombres","26002 Agoncillo",461
"169","2016","Mujeres","26002 Agoncillo",495
"170","2015","Mujeres","26002 Agoncillo",489
"171","2014","Mujeres","26002 Agoncillo",511
"172","2013","Mujeres","26002 Agoncillo",504
"173","2012","Mujeres","26002 Agoncillo",507
"174","2011","Mujeres","26002 Agoncillo",509
"175","2010","Mujeres","26002 Agoncillo",486
"176","2009","Mujeres","26002 Agoncillo",507
"177","2008","Mujeres","26002 Agoncillo",496
"178","2007","Mujeres","26002 Agoncillo",507
"179","2006","Mujeres","26002 Agoncillo",512
"180","2005","Mujeres","26002 Agoncillo",468
"181","2004","Mujeres","26002 Agoncillo",451
"182","2003","Mujeres","26002 Agoncillo",449
"183","2002","Mujeres","26002 Agoncillo",445
"184","2001","Mujeres","26002 Agoncillo",429
"185","2000","Mujeres","26002 Agoncillo",417
"186","1999","Mujeres","26002 Agoncillo",425
"187","1998","Mujeres","26002 Agoncillo",419
"188","1997","Mujeres","26002 Agoncillo",NA
"189","1996","Mujeres","26002 Agoncillo",424
"190","2016","Total","26003 Aguilar del Río Alhama",498
"191","2015","Total","26003 Aguilar del Río Alhama",509
"192","2014","Total","26003 Aguilar del Río Alhama",511
"193","2013","Total","26003 Aguilar del Río Alhama",533
"194","2012","Total","26003 Aguilar del Río Alhama",546
"195","2011","Total","26003 Aguilar del Río Alhama",549
"196","2010","Total","26003 Aguilar del Río Alhama",573
"197","2009","Total","26003 Aguilar del Río Alhama",573
"198","2008","Total","26003 Aguilar del Río Alhama",596
"199","2007","Total","26003 Aguilar del Río Alhama",598
"200","2006","Total","26003 Aguilar del Río Alhama",629
"201","2005","Total","26003 Aguilar del Río Alhama",668
"202","2004","Total","26003 Aguilar del Río Alhama",703
"203","2003","Total","26003 Aguilar del Río Alhama",705
"204","2002","Total","26003 Aguilar del Río Alhama",643
"205","2001","Total","26003 Aguilar del Río Alhama",664
"206","2000","Total","26003 Aguilar del Río Alhama",687
"207","1999","Total","26003 Aguilar del Río Alhama",707
"208","1998","Total","26003 Aguilar del Río Alhama",699
"209","1997","Total","26003 Aguilar del Río Alhama",NA
"210","1996","Total","26003 Aguilar del Río Alhama",728
"211","2016","Hombres","26003 Aguilar del Río Alhama",251
"212","2015","Hombres","26003 Aguilar del Río Alhama",252
"213","2014","Hombres","26003 Aguilar del Río Alhama",246
"214","2013","Hombres","26003 Aguilar del Río Alhama",259
"215","2012","Hombres","26003 Aguilar del Río Alhama",262
"216","2011","Hombres","26003 Aguilar del Río Alhama",266
"217","2010","Hombres","26003 Aguilar del Río Alhama",275
"218","2009","Hombres","26003 Aguilar del Río Alhama",271
"219","2008","Hombres","26003 Aguilar del Río Alhama",281
"220","2007","Hombres","26003 Aguilar del Río Alhama",298
"221","2006","Hombres","26003 Aguilar del Río Alhama",317
"222","2005","Hombres","26003 Aguilar del Río Alhama",339
"223","2004","Hombres","26003 Aguilar del Río Alhama",359
"224","2003","Hombres","26003 Aguilar del Río Alhama",356
"225","2002","Hombres","26003 Aguilar del Río Alhama",324
"226","2001","Hombres","26003 Aguilar del Río Alhama",337
"227","2000","Hombres","26003 Aguilar del Río Alhama",351
"228","1999","Hombres","26003 Aguilar del Río Alhama",363
"229","1998","Hombres","26003 Aguilar del Río Alhama",358
"230","1997","Hombres","26003 Aguilar del Río Alhama",NA
"231","1996","Hombres","26003 Aguilar del Río Alhama",371
"232","2016","Mujeres","26003 Aguilar del Río Alhama",247
"233","2015","Mujeres","26003 Aguilar del Río Alhama",257
"234","2014","Mujeres","26003 Aguilar del Río Alhama",265
"235","2013","Mujeres","26003 Aguilar del Río Alhama",274
"236","2012","Mujeres","26003 Aguilar del Río Alhama",284
"237","2011","Mujeres","26003 Aguilar del Río Alhama",283
"238","2010","Mujeres","26003 Aguilar del Río Alhama",298
"239","2009","Mujeres","26003 Aguilar del Río Alhama",302
"240","2008","Mujeres","26003 Aguilar del Río Alhama",315
"241","2007","Mujeres","26003 Aguilar del Río Alhama",300
"242","2006","Mujeres","26003 Aguilar del Río Alhama",312
"243","2005","Mujeres","26003 Aguilar del Río Alhama",329
"244","2004","Mujeres","26003 Aguilar del Río Alhama",344
"245","2003","Mujeres","26003 Aguilar del Río Alhama",349
"246","2002","Mujeres","26003 Aguilar del Río Alhama",319
"247","2001","Mujeres","26003 Aguilar del Río Alhama",327
"248","2000","Mujeres","26003 Aguilar del Río Alhama",336
"249","1999","Mujeres","26003 Aguilar del Río Alhama",344
"250","1998","Mujeres","26003 Aguilar del Río Alhama",341
"251","1997","Mujeres","26003 Aguilar del Río Alhama",NA
"252","1996","Mujeres","26003 Aguilar del Río Alhama",357
"253","2016","Total","26004 Ajamil de Cameros",65
"254","2015","Total","26004 Ajamil de Cameros",71
"255","2014","Total","26004 Ajamil de Cameros",72
"256","2013","Total","26004 Ajamil de Cameros",76
"257","2012","Total","26004 Ajamil de Cameros",79
"258","2011","Total","26004 Ajamil de Cameros",80
"259","2010","Total","26004 Ajamil de Cameros",61
"260","2009","Total","26004 Ajamil de Cameros",62
"261","2008","Total","26004 Ajamil de Cameros",66
"262","2007","Total","26004 Ajamil de Cameros",72
"263","2006","Total","26004 Ajamil de Cameros",82
"264","2005","Total","26004 Ajamil de Cameros",81
"265","2004","Total","26004 Ajamil de Cameros",80
"266","2003","Total","26004 Ajamil de Cameros",77
"267","2002","Total","26004 Ajamil de Cameros",69
"268","2001","Total","26004 Ajamil de Cameros",57
"269","2000","Total","26004 Ajamil de Cameros",61
"270","1999","Total","26004 Ajamil de Cameros",63
"271","1998","Total","26004 Ajamil de Cameros",75
"272","1997","Total","26004 Ajamil de Cameros",NA
"273","1996","Total","26004 Ajamil de Cameros",79
"274","2016","Hombres","26004 Ajamil de Cameros",45
"275","2015","Hombres","26004 Ajamil de Cameros",47
"276","2014","Hombres","26004 Ajamil de Cameros",48
"277","2013","Hombres","26004 Ajamil de Cameros",50
"278","2012","Hombres","26004 Ajamil de Cameros",52
"279","2011","Hombres","26004 Ajamil de Cameros",54
"280","2010","Hombres","26004 Ajamil de Cameros",47
"281","2009","Hombres","26004 Ajamil de Cameros",48
"282","2008","Hombres","26004 Ajamil de Cameros",50
"283","2007","Hombres","26004 Ajamil de Cameros",56
"284","2006","Hombres","26004 Ajamil de Cameros",60
"285","2005","Hombres","26004 Ajamil de Cameros",59
"286","2004","Hombres","26004 Ajamil de Cameros",54
"287","2003","Hombres","26004 Ajamil de Cameros",49
"288","2002","Hombres","26004 Ajamil de Cameros",45
"289","2001","Hombres","26004 Ajamil de Cameros",35
"290","2000","Hombres","26004 Ajamil de Cameros",39
"291","1999","Hombres","26004 Ajamil de Cameros",41
"292","1998","Hombres","26004 Ajamil de Cameros",50
"293","1997","Hombres","26004 Ajamil de Cameros",NA
"294","1996","Hombres","26004 Ajamil de Cameros",53
"295","2016","Mujeres","26004 Ajamil de Cameros",20
"296","2015","Mujeres","26004 Ajamil de Cameros",24
"297","2014","Mujeres","26004 Ajamil de Cameros",24
"298","2013","Mujeres","26004 Ajamil de Cameros",26
"299","2012","Mujeres","26004 Ajamil de Cameros",27
"300","2011","Mujeres","26004 Ajamil de Cameros",26
"301","2010","Mujeres","26004 Ajamil de Cameros",14
"302","2009","Mujeres","26004 Ajamil de Cameros",14
"303","2008","Mujeres","26004 Ajamil de Cameros",16
"304","2007","Mujeres","26004 Ajamil de Cameros",16
"305","2006","Mujeres","26004 Ajamil de Cameros",22
"306","2005","Mujeres","26004 Ajamil de Cameros",22
"307","2004","Mujeres","26004 Ajamil de Cameros",26
"308","2003","Mujeres","26004 Ajamil de Cameros",28
"309","2002","Mujeres","26004 Ajamil de Cameros",24
"310","2001","Mujeres","26004 Ajamil de Cameros",22
"311","2000","Mujeres","26004 Ajamil de Cameros",22
"312","1999","Mujeres","26004 Ajamil de Cameros",22
"313","1998","Mujeres","26004 Ajamil de Cameros",25
"314","1997","Mujeres","26004 Ajamil de Cameros",NA
"315","1996","Mujeres","26004 Ajamil de Cameros",26
"316","2016","Total","26005 Albelda de Iregua",3319
"317","2015","Total","26005 Albelda de Iregua",3284
"318","2014","Total","26005 Albelda de Iregua",3269
"319","2013","Total","26005 Albelda de Iregua",3336
"320","2012","Total","26005 Albelda de Iregua",3394
"321","2011","Total","26005 Albelda de Iregua",3339
"322","2010","Total","26005 Albelda de Iregua",3291
"323","2009","Total","26005 Albelda de Iregua",3075
"324","2008","Total","26005 Albelda de Iregua",3098
"325","2007","Total","26005 Albelda de Iregua",2918
"326","2006","Total","26005 Albelda de Iregua",2794
"327","2005","Total","26005 Albelda de Iregua",2702
"328","2004","Total","26005 Albelda de Iregua",2599
"329","2003","Total","26005 Albelda de Iregua",2524
"330","2002","Total","26005 Albelda de Iregua",2506
"331","2001","Total","26005 Albelda de Iregua",2355
"332","2000","Total","26005 Albelda de Iregua",2299
"333","1999","Total","26005 Albelda de Iregua",2181
"334","1998","Total","26005 Albelda de Iregua",2218
"335","1997","Total","26005 Albelda de Iregua",NA
"336","1996","Total","26005 Albelda de Iregua",2267
"337","2016","Hombres","26005 Albelda de Iregua",1689
"338","2015","Hombres","26005 Albelda de Iregua",1686
"339","2014","Hombres","26005 Albelda de Iregua",1686
"340","2013","Hombres","26005 Albelda de Iregua",1725
"341","2012","Hombres","26005 Albelda de Iregua",1770
"342","2011","Hombres","26005 Albelda de Iregua",1756
"343","2010","Hombres","26005 Albelda de Iregua",1727
"344","2009","Hombres","26005 Albelda de Iregua",1601
"345","2008","Hombres","26005 Albelda de Iregua",1607
"346","2007","Hombres","26005 Albelda de Iregua",1501
"347","2006","Hombres","26005 Albelda de Iregua",1435
"348","2005","Hombres","26005 Albelda de Iregua",1367
"349","2004","Hombres","26005 Albelda de Iregua",1320
"350","2003","Hombres","26005 Albelda de Iregua",1270
"351","2002","Hombres","26005 Albelda de Iregua",1263
"352","2001","Hombres","26005 Albelda de Iregua",1189
"353","2000","Hombres","26005 Albelda de Iregua",1166
"354","1999","Hombres","26005 Albelda de Iregua",1101
"355","1998","Hombres","26005 Albelda de Iregua",1125
"356","1997","Hombres","26005 Albelda de Iregua",NA
"357","1996","Hombres","26005 Albelda de Iregua",1147
"358","2016","Mujeres","26005 Albelda de Iregua",1630
"359","2015","Mujeres","26005 Albelda de Iregua",1598
"360","2014","Mujeres","26005 Albelda de Iregua",1583
"361","2013","Mujeres","26005 Albelda de Iregua",1611
"362","2012","Mujeres","26005 Albelda de Iregua",1624
"363","2011","Mujeres","26005 Albelda de Iregua",1583
"364","2010","Mujeres","26005 Albelda de Iregua",1564
"365","2009","Mujeres","26005 Albelda de Iregua",1474
"366","2008","Mujeres","26005 Albelda de Iregua",1491
"367","2007","Mujeres","26005 Albelda de Iregua",1417
"368","2006","Mujeres","26005 Albelda de Iregua",1359
"369","2005","Mujeres","26005 Albelda de Iregua",1335
"370","2004","Mujeres","26005 Albelda de Iregua",1279
"371","2003","Mujeres","26005 Albelda de Iregua",1254
"372","2002","Mujeres","26005 Albelda de Iregua",1243
"373","2001","Mujeres","26005 Albelda de Iregua",1166
"374","2000","Mujeres","26005 Albelda de Iregua",1133
"375","1999","Mujeres","26005 Albelda de Iregua",1080
"376","1998","Mujeres","26005 Albelda de Iregua",1093
"377","1997","Mujeres","26005 Albelda de Iregua",NA
"378","1996","Mujeres","26005 Albelda de Iregua",1120
"379","2016","Total","26006 Alberite",2426
"380","2015","Total","26006 Alberite",2456
"381","2014","Total","26006 Alberite",2562
"382","2013","Total","26006 Alberite",2598
"383","2012","Total","26006 Alberite",2690
"384","2011","Total","26006 Alberite",2692
"385","2010","Total","26006 Alberite",2676
"386","2009","Total","26006 Alberite",2668
"387","2008","Total","26006 Alberite",2594
"388","2007","Total","26006 Alberite",2451
"389","2006","Total","26006 Alberite",2369
"390","2005","Total","26006 Alberite",2273
"391","2004","Total","26006 Alberite",2239
"392","2003","Total","26006 Alberite",2187
"393","2002","Total","26006 Alberite",2124
"394","2001","Total","26006 Alberite",2063
"395","2000","Total","26006 Alberite",2012
"396","1999","Total","26006 Alberite",2005
"397","1998","Total","26006 Alberite",2005
"398","1997","Total","26006 Alberite",NA
"399","1996","Total","26006 Alberite",1985
"400","2016","Hombres","26006 Alberite",1229
"401","2015","Hombres","26006 Alberite",1237
"402","2014","Hombres","26006 Alberite",1293
"403","2013","Hombres","26006 Alberite",1310
"404","2012","Hombres","26006 Alberite",1349
"405","2011","Hombres","26006 Alberite",1351
"406","2010","Hombres","26006 Alberite",1334
"407","2009","Hombres","26006 Alberite",1334
"408","2008","Hombres","26006 Alberite",1310
"409","2007","Hombres","26006 Alberite",1244
"410","2006","Hombres","26006 Alberite",1206
"411","2005","Hombres","26006 Alberite",1167
"412","2004","Hombres","26006 Alberite",1141
"413","2003","Hombres","26006 Alberite",1121
"414","2002","Hombres","26006 Alberite",1086
"415","2001","Hombres","26006 Alberite",1039
"416","2000","Hombres","26006 Alberite",1006
"417","1999","Hombres","26006 Alberite",998
"418","1998","Hombres","26006 Alberite",998
"419","1997","Hombres","26006 Alberite",NA
"420","1996","Hombres","26006 Alberite",993
"421","2016","Mujeres","26006 Alberite",1197
"422","2015","Mujeres","26006 Alberite",1219
"423","2014","Mujeres","26006 Alberite",1269
"424","2013","Mujeres","26006 Alberite",1288
"425","2012","Mujeres","26006 Alberite",1341
"426","2011","Mujeres","26006 Alberite",1341
"427","2010","Mujeres","26006 Alberite",1342
"428","2009","Mujeres","26006 Alberite",1334
"429","2008","Mujeres","26006 Alberite",1284
"430","2007","Mujeres","26006 Alberite",1207
"431","2006","Mujeres","26006 Alberite",1163
"432","2005","Mujeres","26006 Alberite",1106
"433","2004","Mujeres","26006 Alberite",1098
"434","2003","Mujeres","26006 Alberite",1066
"435","2002","Mujeres","26006 Alberite",1038
"436","2001","Mujeres","26006 Alberite",1024
"437","2000","Mujeres","26006 Alberite",1006
"438","1999","Mujeres","26006 Alberite",1007
"439","1998","Mujeres","26006 Alberite",1007
"440","1997","Mujeres","26006 Alberite",NA
"441","1996","Mujeres","26006 Alberite",992
"442","2016","Total","26007 Alcanadre",695
"443","2015","Total","26007 Alcanadre",710
"444","2014","Total","26007 Alcanadre",701
"445","2013","Total","26007 Alcanadre",727
"446","2012","Total","26007 Alcanadre",748
"447","2011","Total","26007 Alcanadre",745
"448","2010","Total","26007 Alcanadre",764
"449","2009","Total","26007 Alcanadre",754
"450","2008","Total","26007 Alcanadre",741
"451","2007","Total","26007 Alcanadre",762
"452","2006","Total","26007 Alcanadre",722
"453","2005","Total","26007 Alcanadre",730
"454","2004","Total","26007 Alcanadre",758
"455","2003","Total","26007 Alcanadre",758
"456","2002","Total","26007 Alcanadre",780
"457","2001","Total","26007 Alcanadre",790
"458","2000","Total","26007 Alcanadre",793
"459","1999","Total","26007 Alcanadre",808
"460","1998","Total","26007 Alcanadre",808
"461","1997","Total","26007 Alcanadre",NA
"462","1996","Total","26007 Alcanadre",836
"463","2016","Hombres","26007 Alcanadre",367
"464","2015","Hombres","26007 Alcanadre",377
"465","2014","Hombres","26007 Alcanadre",369
"466","2013","Hombres","26007 Alcanadre",385
"467","2012","Hombres","26007 Alcanadre",396
"468","2011","Hombres","26007 Alcanadre",394
"469","2010","Hombres","26007 Alcanadre",404
"470","2009","Hombres","26007 Alcanadre",394
"471","2008","Hombres","26007 Alcanadre",388
"472","2007","Hombres","26007 Alcanadre",396
"473","2006","Hombres","26007 Alcanadre",378
"474","2005","Hombres","26007 Alcanadre",383
"475","2004","Hombres","26007 Alcanadre",395
"476","2003","Hombres","26007 Alcanadre",390
"477","2002","Hombres","26007 Alcanadre",399
"478","2001","Hombres","26007 Alcanadre",407
"479","2000","Hombres","26007 Alcanadre",409
"480","1999","Hombres","26007 Alcanadre",416
"481","1998","Hombres","26007 Alcanadre",416
"482","1997","Hombres","26007 Alcanadre",NA
"483","1996","Hombres","26007 Alcanadre",428
"484","2016","Mujeres","26007 Alcanadre",328
"485","2015","Mujeres","26007 Alcanadre",333
"486","2014","Mujeres","26007 Alcanadre",332
"487","2013","Mujeres","26007 Alcanadre",342
"488","2012","Mujeres","26007 Alcanadre",352
"489","2011","Mujeres","26007 Alcanadre",351
"490","2010","Mujeres","26007 Alcanadre",360
"491","2009","Mujeres","26007 Alcanadre",360
"492","2008","Mujeres","26007 Alcanadre",353
"493","2007","Mujeres","26007 Alcanadre",366
"494","2006","Mujeres","26007 Alcanadre",344
"495","2005","Mujeres","26007 Alcanadre",347
"496","2004","Mujeres","26007 Alcanadre",363
"497","2003","Mujeres","26007 Alcanadre",368
"498","2002","Mujeres","26007 Alcanadre",381
"499","2001","Mujeres","26007 Alcanadre",383
"500","2000","Mujeres","26007 Alcanadre",384
"501","1999","Mujeres","26007 Alcanadre",392
"502","1998","Mujeres","26007 Alcanadre",392
"503","1997","Mujeres","26007 Alcanadre",NA
"504","1996","Mujeres","26007 Alcanadre",408
"505","2016","Total","26008 Aldeanueva de Ebro",2744
"506","2015","Total","26008 Aldeanueva de Ebro",2779
"507","2014","Total","26008 Aldeanueva de Ebro",2803
"508","2013","Total","26008 Aldeanueva de Ebro",2817
"509","2012","Total","26008 Aldeanueva de Ebro",2815
"510","2011","Total","26008 Aldeanueva de Ebro",2816
"511","2010","Total","26008 Aldeanueva de Ebro",2819
"512","2009","Total","26008 Aldeanueva de Ebro",2812
"513","2008","Total","26008 Aldeanueva de Ebro",2774
"514","2007","Total","26008 Aldeanueva de Ebro",2725
"515","2006","Total","26008 Aldeanueva de Ebro",2652
"516","2005","Total","26008 Aldeanueva de Ebro",2560
"517","2004","Total","26008 Aldeanueva de Ebro",2553
"518","2003","Total","26008 Aldeanueva de Ebro",2574
"519","2002","Total","26008 Aldeanueva de Ebro",2532
"520","2001","Total","26008 Aldeanueva de Ebro",2481
"521","2000","Total","26008 Aldeanueva de Ebro",2491
"522","1999","Total","26008 Aldeanueva de Ebro",2486
"523","1998","Total","26008 Aldeanueva de Ebro",2486
"524","1997","Total","26008 Aldeanueva de Ebro",NA
"525","1996","Total","26008 Aldeanueva de Ebro",2523
"526","2016","Hombres","26008 Aldeanueva de Ebro",1435
"527","2015","Hombres","26008 Aldeanueva de Ebro",1444
"528","2014","Hombres","26008 Aldeanueva de Ebro",1451
"529","2013","Hombres","26008 Aldeanueva de Ebro",1470
"530","2012","Hombres","26008 Aldeanueva de Ebro",1469
"531","2011","Hombres","26008 Aldeanueva de Ebro",1479
"532","2010","Hombres","26008 Aldeanueva de Ebro",1488
"533","2009","Hombres","26008 Aldeanueva de Ebro",1489
"534","2008","Hombres","26008 Aldeanueva de Ebro",1472
"535","2007","Hombres","26008 Aldeanueva de Ebro",1434
"536","2006","Hombres","26008 Aldeanueva de Ebro",1408
"537","2005","Hombres","26008 Aldeanueva de Ebro",1338
"538","2004","Hombres","26008 Aldeanueva de Ebro",1327
"539","2003","Hombres","26008 Aldeanueva de Ebro",1338
"540","2002","Hombres","26008 Aldeanueva de Ebro",1310
"541","2001","Hombres","26008 Aldeanueva de Ebro",1279
"542","2000","Hombres","26008 Aldeanueva de Ebro",1294
"543","1999","Hombres","26008 Aldeanueva de Ebro",1284
"544","1998","Hombres","26008 Aldeanueva de Ebro",1284
"545","1997","Hombres","26008 Aldeanueva de Ebro",NA
"546","1996","Hombres","26008 Aldeanueva de Ebro",1303
"547","2016","Mujeres","26008 Aldeanueva de Ebro",1309
"548","2015","Mujeres","26008 Aldeanueva de Ebro",1335
"549","2014","Mujeres","26008 Aldeanueva de Ebro",1352
"550","2013","Mujeres","26008 Aldeanueva de Ebro",1347
"551","2012","Mujeres","26008 Aldeanueva de Ebro",1346
"552","2011","Mujeres","26008 Aldeanueva de Ebro",1337
"553","2010","Mujeres","26008 Aldeanueva de Ebro",1331
"554","2009","Mujeres","26008 Aldeanueva de Ebro",1323
"555","2008","Mujeres","26008 Aldeanueva de Ebro",1302
"556","2007","Mujeres","26008 Aldeanueva de Ebro",1291
"557","2006","Mujeres","26008 Aldeanueva de Ebro",1244
"558","2005","Mujeres","26008 Aldeanueva de Ebro",1222
"559","2004","Mujeres","26008 Aldeanueva de Ebro",1226
"560","2003","Mujeres","26008 Aldeanueva de Ebro",1236
"561","2002","Mujeres","26008 Aldeanueva de Ebro",1222
"562","2001","Mujeres","26008 Aldeanueva de Ebro",1202
"563","2000","Mujeres","26008 Aldeanueva de Ebro",1197
"564","1999","Mujeres","26008 Aldeanueva de Ebro",1202
