"","Edad..grupos.quinquenales.","Municipios","Sexo","value"
"3828","35-39","08203 Sant Cebrià de Vallalta","Ambos sexos",223
"3829","40-44","08203 Sant Cebrià de Vallalta","Ambos sexos",175
"3830","45-49","08203 Sant Cebrià de Vallalta","Ambos sexos",163
"3831","50-54","08203 Sant Cebrià de Vallalta","Ambos sexos",163
"3832","55-59","08203 Sant Cebrià de Vallalta","Ambos sexos",106
"3833","60-64","08203 Sant Cebrià de Vallalta","Ambos sexos",75
"3834","65-69","08203 Sant Cebrià de Vallalta","Ambos sexos",92
"3835","70-74","08203 Sant Cebrià de Vallalta","Ambos sexos",58
"3836","75-79","08203 Sant Cebrià de Vallalta","Ambos sexos",36
"3837","80-84","08203 Sant Cebrià de Vallalta","Ambos sexos",19
"3838","85 y más","08203 Sant Cebrià de Vallalta","Ambos sexos",14
"3839","Total","08204 Sant Climent de Llobregat","Ambos sexos",3140
"3840","0-4","08204 Sant Climent de Llobregat","Ambos sexos",184
"3841","05-09","08204 Sant Climent de Llobregat","Ambos sexos",179
"3842","10-14","08204 Sant Climent de Llobregat","Ambos sexos",160
"3843","15-19","08204 Sant Climent de Llobregat","Ambos sexos",174
"3844","20-24","08204 Sant Climent de Llobregat","Ambos sexos",241
"3845","25-29","08204 Sant Climent de Llobregat","Ambos sexos",297
"3846","30-34","08204 Sant Climent de Llobregat","Ambos sexos",317
"3847","35-39","08204 Sant Climent de Llobregat","Ambos sexos",312
"3848","40-44","08204 Sant Climent de Llobregat","Ambos sexos",262
"3849","45-49","08204 Sant Climent de Llobregat","Ambos sexos",213
"3850","50-54","08204 Sant Climent de Llobregat","Ambos sexos",182
"3851","55-59","08204 Sant Climent de Llobregat","Ambos sexos",144
"3852","60-64","08204 Sant Climent de Llobregat","Ambos sexos",126
"3853","65-69","08204 Sant Climent de Llobregat","Ambos sexos",132
"3854","70-74","08204 Sant Climent de Llobregat","Ambos sexos",83
"3855","75-79","08204 Sant Climent de Llobregat","Ambos sexos",65
"3856","80-84","08204 Sant Climent de Llobregat","Ambos sexos",40
"3857","85 y más","08204 Sant Climent de Llobregat","Ambos sexos",29
"3858","Total","08205 Sant Cugat del Vallès","Ambos sexos",59837
"3859","0-4","08205 Sant Cugat del Vallès","Ambos sexos",3758
"3860","05-09","08205 Sant Cugat del Vallès","Ambos sexos",3956
"3861","10-14","08205 Sant Cugat del Vallès","Ambos sexos",3378
"3862","15-19","08205 Sant Cugat del Vallès","Ambos sexos",3453
"3863","20-24","08205 Sant Cugat del Vallès","Ambos sexos",4009
"3864","25-29","08205 Sant Cugat del Vallès","Ambos sexos",4875
"3865","30-34","08205 Sant Cugat del Vallès","Ambos sexos",5602
"3866","35-39","08205 Sant Cugat del Vallès","Ambos sexos",5950
"3867","40-44","08205 Sant Cugat del Vallès","Ambos sexos",5214
"3868","45-49","08205 Sant Cugat del Vallès","Ambos sexos",4505
"3869","50-54","08205 Sant Cugat del Vallès","Ambos sexos",3923
"3870","55-59","08205 Sant Cugat del Vallès","Ambos sexos",3045
"3871","60-64","08205 Sant Cugat del Vallès","Ambos sexos",1979
"3872","65-69","08205 Sant Cugat del Vallès","Ambos sexos",1883
"3873","70-74","08205 Sant Cugat del Vallès","Ambos sexos",1563
"3874","75-79","08205 Sant Cugat del Vallès","Ambos sexos",1166
"3875","80-84","08205 Sant Cugat del Vallès","Ambos sexos",840
"3876","85 y más","08205 Sant Cugat del Vallès","Ambos sexos",738
"3877","Total","08206 Sant Cugat Sesgarrigues","Ambos sexos",770
"3878","0-4","08206 Sant Cugat Sesgarrigues","Ambos sexos",42
"3879","05-09","08206 Sant Cugat Sesgarrigues","Ambos sexos",31
"3880","10-14","08206 Sant Cugat Sesgarrigues","Ambos sexos",30
"3881","15-19","08206 Sant Cugat Sesgarrigues","Ambos sexos",40
"3882","20-24","08206 Sant Cugat Sesgarrigues","Ambos sexos",45
"3883","25-29","08206 Sant Cugat Sesgarrigues","Ambos sexos",69
"3884","30-34","08206 Sant Cugat Sesgarrigues","Ambos sexos",68
"3885","35-39","08206 Sant Cugat Sesgarrigues","Ambos sexos",61
"3886","40-44","08206 Sant Cugat Sesgarrigues","Ambos sexos",54
"3887","45-49","08206 Sant Cugat Sesgarrigues","Ambos sexos",42
"3888","50-54","08206 Sant Cugat Sesgarrigues","Ambos sexos",49
"3889","55-59","08206 Sant Cugat Sesgarrigues","Ambos sexos",48
"3890","60-64","08206 Sant Cugat Sesgarrigues","Ambos sexos",30
"3891","65-69","08206 Sant Cugat Sesgarrigues","Ambos sexos",53
"3892","70-74","08206 Sant Cugat Sesgarrigues","Ambos sexos",35
"3893","75-79","08206 Sant Cugat Sesgarrigues","Ambos sexos",26
"3894","80-84","08206 Sant Cugat Sesgarrigues","Ambos sexos",24
"3895","85 y más","08206 Sant Cugat Sesgarrigues","Ambos sexos",23
"3896","Total","08207 Sant Esteve de Palautordera","Ambos sexos",1591
"3897","0-4","08207 Sant Esteve de Palautordera","Ambos sexos",109
"3898","05-09","08207 Sant Esteve de Palautordera","Ambos sexos",104
"3899","10-14","08207 Sant Esteve de Palautordera","Ambos sexos",78
"3900","15-19","08207 Sant Esteve de Palautordera","Ambos sexos",97
"3901","20-24","08207 Sant Esteve de Palautordera","Ambos sexos",88
"3902","25-29","08207 Sant Esteve de Palautordera","Ambos sexos",125
"3903","30-34","08207 Sant Esteve de Palautordera","Ambos sexos",135
"3904","35-39","08207 Sant Esteve de Palautordera","Ambos sexos",153
"3905","40-44","08207 Sant Esteve de Palautordera","Ambos sexos",137
"3906","45-49","08207 Sant Esteve de Palautordera","Ambos sexos",120
"3907","50-54","08207 Sant Esteve de Palautordera","Ambos sexos",108
"3908","55-59","08207 Sant Esteve de Palautordera","Ambos sexos",68
"3909","60-64","08207 Sant Esteve de Palautordera","Ambos sexos",57
"3910","65-69","08207 Sant Esteve de Palautordera","Ambos sexos",60
"3911","70-74","08207 Sant Esteve de Palautordera","Ambos sexos",52
"3912","75-79","08207 Sant Esteve de Palautordera","Ambos sexos",43
"3913","80-84","08207 Sant Esteve de Palautordera","Ambos sexos",32
"3914","85 y más","08207 Sant Esteve de Palautordera","Ambos sexos",25
"3915","Total","08208 Sant Esteve Sesrovires","Ambos sexos",5591
"3916","0-4","08208 Sant Esteve Sesrovires","Ambos sexos",320
"3917","05-09","08208 Sant Esteve Sesrovires","Ambos sexos",315
"3918","10-14","08208 Sant Esteve Sesrovires","Ambos sexos",298
"3919","15-19","08208 Sant Esteve Sesrovires","Ambos sexos",283
"3920","20-24","08208 Sant Esteve Sesrovires","Ambos sexos",366
"3921","25-29","08208 Sant Esteve Sesrovires","Ambos sexos",474
"3922","30-34","08208 Sant Esteve Sesrovires","Ambos sexos",561
"3923","35-39","08208 Sant Esteve Sesrovires","Ambos sexos",596
"3924","40-44","08208 Sant Esteve Sesrovires","Ambos sexos",511
"3925","45-49","08208 Sant Esteve Sesrovires","Ambos sexos",413
"3926","50-54","08208 Sant Esteve Sesrovires","Ambos sexos",346
"3927","55-59","08208 Sant Esteve Sesrovires","Ambos sexos",283
"3928","60-64","08208 Sant Esteve Sesrovires","Ambos sexos",208
"3929","65-69","08208 Sant Esteve Sesrovires","Ambos sexos",199
"3930","70-74","08208 Sant Esteve Sesrovires","Ambos sexos",177
"3931","75-79","08208 Sant Esteve Sesrovires","Ambos sexos",117
"3932","80-84","08208 Sant Esteve Sesrovires","Ambos sexos",57
"3933","85 y más","08208 Sant Esteve Sesrovires","Ambos sexos",67
"3934","Total","08209 Sant Fost de Campsentelles","Ambos sexos",6713
"3935","0-4","08209 Sant Fost de Campsentelles","Ambos sexos",299
"3936","05-09","08209 Sant Fost de Campsentelles","Ambos sexos",344
"3937","10-14","08209 Sant Fost de Campsentelles","Ambos sexos",328
"3938","15-19","08209 Sant Fost de Campsentelles","Ambos sexos",424
"3939","20-24","08209 Sant Fost de Campsentelles","Ambos sexos",569
"3940","25-29","08209 Sant Fost de Campsentelles","Ambos sexos",514
"3941","30-34","08209 Sant Fost de Campsentelles","Ambos sexos",499
"3942","35-39","08209 Sant Fost de Campsentelles","Ambos sexos",552
"3943","40-44","08209 Sant Fost de Campsentelles","Ambos sexos",590
"3944","45-49","08209 Sant Fost de Campsentelles","Ambos sexos",591
"3945","50-54","08209 Sant Fost de Campsentelles","Ambos sexos",519
"3946","55-59","08209 Sant Fost de Campsentelles","Ambos sexos",394
"3947","60-64","08209 Sant Fost de Campsentelles","Ambos sexos",280
"3948","65-69","08209 Sant Fost de Campsentelles","Ambos sexos",290
"3949","70-74","08209 Sant Fost de Campsentelles","Ambos sexos",196
"3950","75-79","08209 Sant Fost de Campsentelles","Ambos sexos",167
"3951","80-84","08209 Sant Fost de Campsentelles","Ambos sexos",83
"3952","85 y más","08209 Sant Fost de Campsentelles","Ambos sexos",74
"3953","Total","08210 Sant Feliu de Codines","Ambos sexos",4715
"3954","0-4","08210 Sant Feliu de Codines","Ambos sexos",260
"3955","05-09","08210 Sant Feliu de Codines","Ambos sexos",202
"3956","10-14","08210 Sant Feliu de Codines","Ambos sexos",238
"3957","15-19","08210 Sant Feliu de Codines","Ambos sexos",244
"3958","20-24","08210 Sant Feliu de Codines","Ambos sexos",343
"3959","25-29","08210 Sant Feliu de Codines","Ambos sexos",458
"3960","30-34","08210 Sant Feliu de Codines","Ambos sexos",434
"3961","35-39","08210 Sant Feliu de Codines","Ambos sexos",441
"3962","40-44","08210 Sant Feliu de Codines","Ambos sexos",324
"3963","45-49","08210 Sant Feliu de Codines","Ambos sexos",253
"3964","50-54","08210 Sant Feliu de Codines","Ambos sexos",271
"3965","55-59","08210 Sant Feliu de Codines","Ambos sexos",220
"3966","60-64","08210 Sant Feliu de Codines","Ambos sexos",192
"3967","65-69","08210 Sant Feliu de Codines","Ambos sexos",257
"3968","70-74","08210 Sant Feliu de Codines","Ambos sexos",191
"3969","75-79","08210 Sant Feliu de Codines","Ambos sexos",193
"3970","80-84","08210 Sant Feliu de Codines","Ambos sexos",115
"3971","85 y más","08210 Sant Feliu de Codines","Ambos sexos",79
"3972","Total","08211 Sant Feliu de Llobregat","Ambos sexos",40695
"3973","0-4","08211 Sant Feliu de Llobregat","Ambos sexos",2034
"3974","05-09","08211 Sant Feliu de Llobregat","Ambos sexos",1784
"3975","10-14","08211 Sant Feliu de Llobregat","Ambos sexos",1803
"3976","15-19","08211 Sant Feliu de Llobregat","Ambos sexos",2222
"3977","20-24","08211 Sant Feliu de Llobregat","Ambos sexos",3408
"3978","25-29","08211 Sant Feliu de Llobregat","Ambos sexos",4460
"3979","30-34","08211 Sant Feliu de Llobregat","Ambos sexos",4021
"3980","35-39","08211 Sant Feliu de Llobregat","Ambos sexos",3284
"3981","40-44","08211 Sant Feliu de Llobregat","Ambos sexos",2852
"3982","45-49","08211 Sant Feliu de Llobregat","Ambos sexos",2644
"3983","50-54","08211 Sant Feliu de Llobregat","Ambos sexos",2895
"3984","55-59","08211 Sant Feliu de Llobregat","Ambos sexos",2522
"3985","60-64","08211 Sant Feliu de Llobregat","Ambos sexos",1770
"3986","65-69","08211 Sant Feliu de Llobregat","Ambos sexos",1640
"3987","70-74","08211 Sant Feliu de Llobregat","Ambos sexos",1210
"3988","75-79","08211 Sant Feliu de Llobregat","Ambos sexos",964
"3989","80-84","08211 Sant Feliu de Llobregat","Ambos sexos",617
"3990","85 y más","08211 Sant Feliu de Llobregat","Ambos sexos",565
"3991","Total","08212 Sant Feliu Sasserra","Ambos sexos",656
"3992","0-4","08212 Sant Feliu Sasserra","Ambos sexos",36
"3993","05-09","08212 Sant Feliu Sasserra","Ambos sexos",21
"3994","10-14","08212 Sant Feliu Sasserra","Ambos sexos",31
"3995","15-19","08212 Sant Feliu Sasserra","Ambos sexos",35
"3996","20-24","08212 Sant Feliu Sasserra","Ambos sexos",47
"3997","25-29","08212 Sant Feliu Sasserra","Ambos sexos",33
"3998","30-34","08212 Sant Feliu Sasserra","Ambos sexos",48
"3999","35-39","08212 Sant Feliu Sasserra","Ambos sexos",46
"4000","40-44","08212 Sant Feliu Sasserra","Ambos sexos",53
"4001","45-49","08212 Sant Feliu Sasserra","Ambos sexos",56
"4002","50-54","08212 Sant Feliu Sasserra","Ambos sexos",35
"4003","55-59","08212 Sant Feliu Sasserra","Ambos sexos",32
"4004","60-64","08212 Sant Feliu Sasserra","Ambos sexos",36
"4005","65-69","08212 Sant Feliu Sasserra","Ambos sexos",27
"4006","70-74","08212 Sant Feliu Sasserra","Ambos sexos",38
"4007","75-79","08212 Sant Feliu Sasserra","Ambos sexos",37
"4008","80-84","08212 Sant Feliu Sasserra","Ambos sexos",36
"4009","85 y más","08212 Sant Feliu Sasserra","Ambos sexos",9
"4010","Total","08213 Sant Fruitós de Bages","Ambos sexos",6036
"4011","0-4","08213 Sant Fruitós de Bages","Ambos sexos",329
"4012","05-09","08213 Sant Fruitós de Bages","Ambos sexos",299
"4013","10-14","08213 Sant Fruitós de Bages","Ambos sexos",286
"4014","15-19","08213 Sant Fruitós de Bages","Ambos sexos",395
"4015","20-24","08213 Sant Fruitós de Bages","Ambos sexos",471
"4016","25-29","08213 Sant Fruitós de Bages","Ambos sexos",572
"4017","30-34","08213 Sant Fruitós de Bages","Ambos sexos",515
"4018","35-39","08213 Sant Fruitós de Bages","Ambos sexos",473
"4019","40-44","08213 Sant Fruitós de Bages","Ambos sexos",501
"4020","45-49","08213 Sant Fruitós de Bages","Ambos sexos",421
"4021","50-54","08213 Sant Fruitós de Bages","Ambos sexos",381
"4022","55-59","08213 Sant Fruitós de Bages","Ambos sexos",315
"4023","60-64","08213 Sant Fruitós de Bages","Ambos sexos",244
"4024","65-69","08213 Sant Fruitós de Bages","Ambos sexos",256
"4025","70-74","08213 Sant Fruitós de Bages","Ambos sexos",229
"4026","75-79","08213 Sant Fruitós de Bages","Ambos sexos",174
"4027","80-84","08213 Sant Fruitós de Bages","Ambos sexos",104
"4028","85 y más","08213 Sant Fruitós de Bages","Ambos sexos",71
"4029","Total","08214 Vilassar de Dalt","Ambos sexos",7752
"4030","0-4","08214 Vilassar de Dalt","Ambos sexos",230
"4031","05-09","08214 Vilassar de Dalt","Ambos sexos",331
"4032","10-14","08214 Vilassar de Dalt","Ambos sexos",363
"4033","15-19","08214 Vilassar de Dalt","Ambos sexos",429
"4034","20-24","08214 Vilassar de Dalt","Ambos sexos",592
"4035","25-29","08214 Vilassar de Dalt","Ambos sexos",710
"4036","30-34","08214 Vilassar de Dalt","Ambos sexos",639
"4037","35-39","08214 Vilassar de Dalt","Ambos sexos",608
"4038","40-44","08214 Vilassar de Dalt","Ambos sexos",671
"4039","45-49","08214 Vilassar de Dalt","Ambos sexos",595
"4040","50-54","08214 Vilassar de Dalt","Ambos sexos",524
"4041","55-59","08214 Vilassar de Dalt","Ambos sexos",471
"4042","60-64","08214 Vilassar de Dalt","Ambos sexos",318
"4043","65-69","08214 Vilassar de Dalt","Ambos sexos",311
"4044","70-74","08214 Vilassar de Dalt","Ambos sexos",330
"4045","75-79","08214 Vilassar de Dalt","Ambos sexos",281
"4046","80-84","08214 Vilassar de Dalt","Ambos sexos",177
"4047","85 y más","08214 Vilassar de Dalt","Ambos sexos",172
"4048","Total","08215 Sant Hipòlit de Voltregà","Ambos sexos",3087
"4049","0-4","08215 Sant Hipòlit de Voltregà","Ambos sexos",177
"4050","05-09","08215 Sant Hipòlit de Voltregà","Ambos sexos",121
"4051","10-14","08215 Sant Hipòlit de Voltregà","Ambos sexos",128
"4052","15-19","08215 Sant Hipòlit de Voltregà","Ambos sexos",156
"4053","20-24","08215 Sant Hipòlit de Voltregà","Ambos sexos",227
"4054","25-29","08215 Sant Hipòlit de Voltregà","Ambos sexos",226
"4055","30-34","08215 Sant Hipòlit de Voltregà","Ambos sexos",263
"4056","35-39","08215 Sant Hipòlit de Voltregà","Ambos sexos",245
"4057","40-44","08215 Sant Hipòlit de Voltregà","Ambos sexos",224
"4058","45-49","08215 Sant Hipòlit de Voltregà","Ambos sexos",212
"4059","50-54","08215 Sant Hipòlit de Voltregà","Ambos sexos",159
"4060","55-59","08215 Sant Hipòlit de Voltregà","Ambos sexos",125
"4061","60-64","08215 Sant Hipòlit de Voltregà","Ambos sexos",118
"4062","65-69","08215 Sant Hipòlit de Voltregà","Ambos sexos",195
"4063","70-74","08215 Sant Hipòlit de Voltregà","Ambos sexos",206
"4064","75-79","08215 Sant Hipòlit de Voltregà","Ambos sexos",137
"4065","80-84","08215 Sant Hipòlit de Voltregà","Ambos sexos",86
"4066","85 y más","08215 Sant Hipòlit de Voltregà","Ambos sexos",82
"4067","Total","08216 Sant Jaume de Frontanyà","Ambos sexos",25
"4068","0-4","08216 Sant Jaume de Frontanyà","Ambos sexos",0
"4069","05-09","08216 Sant Jaume de Frontanyà","Ambos sexos",0
"4070","10-14","08216 Sant Jaume de Frontanyà","Ambos sexos",0
"4071","15-19","08216 Sant Jaume de Frontanyà","Ambos sexos",4
"4072","20-24","08216 Sant Jaume de Frontanyà","Ambos sexos",4
"4073","25-29","08216 Sant Jaume de Frontanyà","Ambos sexos",0
"4074","30-34","08216 Sant Jaume de Frontanyà","Ambos sexos",0
"4075","35-39","08216 Sant Jaume de Frontanyà","Ambos sexos",0
"4076","40-44","08216 Sant Jaume de Frontanyà","Ambos sexos",0
"4077","45-49","08216 Sant Jaume de Frontanyà","Ambos sexos",6
"4078","50-54","08216 Sant Jaume de Frontanyà","Ambos sexos",6
"4079","55-59","08216 Sant Jaume de Frontanyà","Ambos sexos",1
"4080","60-64","08216 Sant Jaume de Frontanyà","Ambos sexos",2
"4081","65-69","08216 Sant Jaume de Frontanyà","Ambos sexos",2
"4082","70-74","08216 Sant Jaume de Frontanyà","Ambos sexos",0
"4083","75-79","08216 Sant Jaume de Frontanyà","Ambos sexos",0
"4084","80-84","08216 Sant Jaume de Frontanyà","Ambos sexos",0
"4085","85 y más","08216 Sant Jaume de Frontanyà","Ambos sexos",0
"4086","Total","08217 Sant Joan Despí","Ambos sexos",29064
"4087","0-4","08217 Sant Joan Despí","Ambos sexos",1599
"4088","05-09","08217 Sant Joan Despí","Ambos sexos",1514
"4089","10-14","08217 Sant Joan Despí","Ambos sexos",1406
"4090","15-19","08217 Sant Joan Despí","Ambos sexos",1612
"4091","20-24","08217 Sant Joan Despí","Ambos sexos",2176
"4092","25-29","08217 Sant Joan Despí","Ambos sexos",2802
"4093","30-34","08217 Sant Joan Despí","Ambos sexos",2779
"4094","35-39","08217 Sant Joan Despí","Ambos sexos",2594
"4095","40-44","08217 Sant Joan Despí","Ambos sexos",2271
"4096","45-49","08217 Sant Joan Despí","Ambos sexos",1966
"4097","50-54","08217 Sant Joan Despí","Ambos sexos",1935
"4098","55-59","08217 Sant Joan Despí","Ambos sexos",1767
"4099","60-64","08217 Sant Joan Despí","Ambos sexos",1272
"4100","65-69","08217 Sant Joan Despí","Ambos sexos",1142
"4101","70-74","08217 Sant Joan Despí","Ambos sexos",883
"4102","75-79","08217 Sant Joan Despí","Ambos sexos",664
"4103","80-84","08217 Sant Joan Despí","Ambos sexos",377
"4104","85 y más","08217 Sant Joan Despí","Ambos sexos",305
"4105","Total","08218 Sant Joan de Vilatorrada","Ambos sexos",9390
"4106","0-4","08218 Sant Joan de Vilatorrada","Ambos sexos",446
"4107","05-09","08218 Sant Joan de Vilatorrada","Ambos sexos",414
"4108","10-14","08218 Sant Joan de Vilatorrada","Ambos sexos",437
"4109","15-19","08218 Sant Joan de Vilatorrada","Ambos sexos",563
"4110","20-24","08218 Sant Joan de Vilatorrada","Ambos sexos",747
"4111","25-29","08218 Sant Joan de Vilatorrada","Ambos sexos",918
"4112","30-34","08218 Sant Joan de Vilatorrada","Ambos sexos",850
"4113","35-39","08218 Sant Joan de Vilatorrada","Ambos sexos",754
"4114","40-44","08218 Sant Joan de Vilatorrada","Ambos sexos",719
"4115","45-49","08218 Sant Joan de Vilatorrada","Ambos sexos",587
"4116","50-54","08218 Sant Joan de Vilatorrada","Ambos sexos",610
"4117","55-59","08218 Sant Joan de Vilatorrada","Ambos sexos",497
"4118","60-64","08218 Sant Joan de Vilatorrada","Ambos sexos",418
"4119","65-69","08218 Sant Joan de Vilatorrada","Ambos sexos",434
"4120","70-74","08218 Sant Joan de Vilatorrada","Ambos sexos",383
"4121","75-79","08218 Sant Joan de Vilatorrada","Ambos sexos",288
"4122","80-84","08218 Sant Joan de Vilatorrada","Ambos sexos",183
"4123","85 y más","08218 Sant Joan de Vilatorrada","Ambos sexos",142
"4124","Total","08219 Vilassar de Mar","Ambos sexos",17721
"4125","0-4","08219 Vilassar de Mar","Ambos sexos",875
"4126","05-09","08219 Vilassar de Mar","Ambos sexos",932
"4127","10-14","08219 Vilassar de Mar","Ambos sexos",942
"4128","15-19","08219 Vilassar de Mar","Ambos sexos",1035
"4129","20-24","08219 Vilassar de Mar","Ambos sexos",1220
"4130","25-29","08219 Vilassar de Mar","Ambos sexos",1479
"4131","30-34","08219 Vilassar de Mar","Ambos sexos",1588
"4132","35-39","08219 Vilassar de Mar","Ambos sexos",1658
"4133","40-44","08219 Vilassar de Mar","Ambos sexos",1477
"4134","45-49","08219 Vilassar de Mar","Ambos sexos",1319
"4135","50-54","08219 Vilassar de Mar","Ambos sexos",1158
"4136","55-59","08219 Vilassar de Mar","Ambos sexos",945
"4137","60-64","08219 Vilassar de Mar","Ambos sexos",699
"4138","65-69","08219 Vilassar de Mar","Ambos sexos",737
"4139","70-74","08219 Vilassar de Mar","Ambos sexos",606
"4140","75-79","08219 Vilassar de Mar","Ambos sexos",465
"4141","80-84","08219 Vilassar de Mar","Ambos sexos",312
"4142","85 y más","08219 Vilassar de Mar","Ambos sexos",274
"4143","Total","08220 Sant Julià de Vilatorta","Ambos sexos",2473
"4144","0-4","08220 Sant Julià de Vilatorta","Ambos sexos",141
"4145","05-09","08220 Sant Julià de Vilatorta","Ambos sexos",130
"4146","10-14","08220 Sant Julià de Vilatorta","Ambos sexos",147
"4147","15-19","08220 Sant Julià de Vilatorta","Ambos sexos",132
"4148","20-24","08220 Sant Julià de Vilatorta","Ambos sexos",171
"4149","25-29","08220 Sant Julià de Vilatorta","Ambos sexos",215
"4150","30-34","08220 Sant Julià de Vilatorta","Ambos sexos",172
"4151","35-39","08220 Sant Julià de Vilatorta","Ambos sexos",232
"4152","40-44","08220 Sant Julià de Vilatorta","Ambos sexos",227
"4153","45-49","08220 Sant Julià de Vilatorta","Ambos sexos",172
"4154","50-54","08220 Sant Julià de Vilatorta","Ambos sexos",178
"4155","55-59","08220 Sant Julià de Vilatorta","Ambos sexos",114
"4156","60-64","08220 Sant Julià de Vilatorta","Ambos sexos",83
"4157","65-69","08220 Sant Julià de Vilatorta","Ambos sexos",110
"4158","70-74","08220 Sant Julià de Vilatorta","Ambos sexos",89
"4159","75-79","08220 Sant Julià de Vilatorta","Ambos sexos",89
"4160","80-84","08220 Sant Julià de Vilatorta","Ambos sexos",47
"4161","85 y más","08220 Sant Julià de Vilatorta","Ambos sexos",24
"4162","Total","08221 Sant Just Desvern","Ambos sexos",14557
"4163","0-4","08221 Sant Just Desvern","Ambos sexos",744
"4164","05-09","08221 Sant Just Desvern","Ambos sexos",763
"4165","10-14","08221 Sant Just Desvern","Ambos sexos",790
"4166","15-19","08221 Sant Just Desvern","Ambos sexos",843
"4167","20-24","08221 Sant Just Desvern","Ambos sexos",1054
"4168","25-29","08221 Sant Just Desvern","Ambos sexos",1202
"4169","30-34","08221 Sant Just Desvern","Ambos sexos",1144
"4170","35-39","08221 Sant Just Desvern","Ambos sexos",1193
"4171","40-44","08221 Sant Just Desvern","Ambos sexos",1092
"4172","45-49","08221 Sant Just Desvern","Ambos sexos",1090
"4173","50-54","08221 Sant Just Desvern","Ambos sexos",1077
"4174","55-59","08221 Sant Just Desvern","Ambos sexos",849
"4175","60-64","08221 Sant Just Desvern","Ambos sexos",643
"4176","65-69","08221 Sant Just Desvern","Ambos sexos",618
"4177","70-74","08221 Sant Just Desvern","Ambos sexos",512
"4178","75-79","08221 Sant Just Desvern","Ambos sexos",409
"4179","80-84","08221 Sant Just Desvern","Ambos sexos",254
"4180","85 y más","08221 Sant Just Desvern","Ambos sexos",280
"4181","Total","08222 Sant Llorenç d'Hortons","Ambos sexos",1779
"4182","0-4","08222 Sant Llorenç d'Hortons","Ambos sexos",97
"4183","05-09","08222 Sant Llorenç d'Hortons","Ambos sexos",87
"4184","10-14","08222 Sant Llorenç d'Hortons","Ambos sexos",90
"4185","15-19","08222 Sant Llorenç d'Hortons","Ambos sexos",94
"4186","20-24","08222 Sant Llorenç d'Hortons","Ambos sexos",99
"4187","25-29","08222 Sant Llorenç d'Hortons","Ambos sexos",149
"4188","30-34","08222 Sant Llorenç d'Hortons","Ambos sexos",145
"4189","35-39","08222 Sant Llorenç d'Hortons","Ambos sexos",177
"4190","40-44","08222 Sant Llorenç d'Hortons","Ambos sexos",129
"4191","45-49","08222 Sant Llorenç d'Hortons","Ambos sexos",126
"4192","50-54","08222 Sant Llorenç d'Hortons","Ambos sexos",99
"4193","55-59","08222 Sant Llorenç d'Hortons","Ambos sexos",89
"4194","60-64","08222 Sant Llorenç d'Hortons","Ambos sexos",68
"4195","65-69","08222 Sant Llorenç d'Hortons","Ambos sexos",103
"4196","70-74","08222 Sant Llorenç d'Hortons","Ambos sexos",71
"4197","75-79","08222 Sant Llorenç d'Hortons","Ambos sexos",69
"4198","80-84","08222 Sant Llorenç d'Hortons","Ambos sexos",46
"4199","85 y más","08222 Sant Llorenç d'Hortons","Ambos sexos",41
"4200","Total","08223 Sant Llorenç Savall","Ambos sexos",2123
"4201","0-4","08223 Sant Llorenç Savall","Ambos sexos",100
"4202","05-09","08223 Sant Llorenç Savall","Ambos sexos",99
"4203","10-14","08223 Sant Llorenç Savall","Ambos sexos",92
"4204","15-19","08223 Sant Llorenç Savall","Ambos sexos",105
"4205","20-24","08223 Sant Llorenç Savall","Ambos sexos",118
"4206","25-29","08223 Sant Llorenç Savall","Ambos sexos",180
"4207","30-34","08223 Sant Llorenç Savall","Ambos sexos",127
"4208","35-39","08223 Sant Llorenç Savall","Ambos sexos",182
"4209","40-44","08223 Sant Llorenç Savall","Ambos sexos",142
"4210","45-49","08223 Sant Llorenç Savall","Ambos sexos",126
"4211","50-54","08223 Sant Llorenç Savall","Ambos sexos",134
"4212","55-59","08223 Sant Llorenç Savall","Ambos sexos",103
"4213","60-64","08223 Sant Llorenç Savall","Ambos sexos",89
"4214","65-69","08223 Sant Llorenç Savall","Ambos sexos",140
"4215","70-74","08223 Sant Llorenç Savall","Ambos sexos",122
"4216","75-79","08223 Sant Llorenç Savall","Ambos sexos",104
"4217","80-84","08223 Sant Llorenç Savall","Ambos sexos",64
"4218","85 y más","08223 Sant Llorenç Savall","Ambos sexos",96
"4219","Total","08224 Sant Martí de Centelles","Ambos sexos",784
"4220","0-4","08224 Sant Martí de Centelles","Ambos sexos",43
"4221","05-09","08224 Sant Martí de Centelles","Ambos sexos",43
"4222","10-14","08224 Sant Martí de Centelles","Ambos sexos",45
"4223","15-19","08224 Sant Martí de Centelles","Ambos sexos",23
"4224","20-24","08224 Sant Martí de Centelles","Ambos sexos",47
"4225","25-29","08224 Sant Martí de Centelles","Ambos sexos",72
"4226","30-34","08224 Sant Martí de Centelles","Ambos sexos",70
"4227","35-39","08224 Sant Martí de Centelles","Ambos sexos",80
"4228","40-44","08224 Sant Martí de Centelles","Ambos sexos",65
"4229","45-49","08224 Sant Martí de Centelles","Ambos sexos",46
"4230","50-54","08224 Sant Martí de Centelles","Ambos sexos",53
"4231","55-59","08224 Sant Martí de Centelles","Ambos sexos",30
"4232","60-64","08224 Sant Martí de Centelles","Ambos sexos",29
"4233","65-69","08224 Sant Martí de Centelles","Ambos sexos",50
