"","Edad..grupos.quinquenales.","Municipios","Sexo","value"
"106","45-49","08005 Ametlla del Vallès (L')","Ambos sexos",507
"107","50-54","08005 Ametlla del Vallès (L')","Ambos sexos",403
"108","55-59","08005 Ametlla del Vallès (L')","Ambos sexos",292
"109","60-64","08005 Ametlla del Vallès (L')","Ambos sexos",185
"110","65-69","08005 Ametlla del Vallès (L')","Ambos sexos",202
"111","70-74","08005 Ametlla del Vallès (L')","Ambos sexos",176
"112","75-79","08005 Ametlla del Vallès (L')","Ambos sexos",152
"113","80-84","08005 Ametlla del Vallès (L')","Ambos sexos",92
"114","85 y más","08005 Ametlla del Vallès (L')","Ambos sexos",110
"115","Total","08006 Arenys de Mar","Ambos sexos",13107
"116","0-4","08006 Arenys de Mar","Ambos sexos",571
"117","05-09","08006 Arenys de Mar","Ambos sexos",660
"118","10-14","08006 Arenys de Mar","Ambos sexos",661
"119","15-19","08006 Arenys de Mar","Ambos sexos",716
"120","20-24","08006 Arenys de Mar","Ambos sexos",872
"121","25-29","08006 Arenys de Mar","Ambos sexos",1065
"122","30-34","08006 Arenys de Mar","Ambos sexos",1050
"123","35-39","08006 Arenys de Mar","Ambos sexos",1120
"124","40-44","08006 Arenys de Mar","Ambos sexos",996
"125","45-49","08006 Arenys de Mar","Ambos sexos",881
"126","50-54","08006 Arenys de Mar","Ambos sexos",788
"127","55-59","08006 Arenys de Mar","Ambos sexos",740
"128","60-64","08006 Arenys de Mar","Ambos sexos",580
"129","65-69","08006 Arenys de Mar","Ambos sexos",599
"130","70-74","08006 Arenys de Mar","Ambos sexos",615
"131","75-79","08006 Arenys de Mar","Ambos sexos",504
"132","80-84","08006 Arenys de Mar","Ambos sexos",352
"133","85 y más","08006 Arenys de Mar","Ambos sexos",337
"134","Total","08007 Arenys de Munt","Ambos sexos",6827
"135","0-4","08007 Arenys de Munt","Ambos sexos",397
"136","05-09","08007 Arenys de Munt","Ambos sexos",372
"137","10-14","08007 Arenys de Munt","Ambos sexos",323
"138","15-19","08007 Arenys de Munt","Ambos sexos",379
"139","20-24","08007 Arenys de Munt","Ambos sexos",491
"140","25-29","08007 Arenys de Munt","Ambos sexos",636
"141","30-34","08007 Arenys de Munt","Ambos sexos",624
"142","35-39","08007 Arenys de Munt","Ambos sexos",619
"143","40-44","08007 Arenys de Munt","Ambos sexos",525
"144","45-49","08007 Arenys de Munt","Ambos sexos",444
"145","50-54","08007 Arenys de Munt","Ambos sexos",409
"146","55-59","08007 Arenys de Munt","Ambos sexos",323
"147","60-64","08007 Arenys de Munt","Ambos sexos",268
"148","65-69","08007 Arenys de Munt","Ambos sexos",274
"149","70-74","08007 Arenys de Munt","Ambos sexos",255
"150","75-79","08007 Arenys de Munt","Ambos sexos",196
"151","80-84","08007 Arenys de Munt","Ambos sexos",144
"152","85 y más","08007 Arenys de Munt","Ambos sexos",148
"153","Total","08008 Argençola","Ambos sexos",195
"154","0-4","08008 Argençola","Ambos sexos",7
"155","05-09","08008 Argençola","Ambos sexos",8
"156","10-14","08008 Argençola","Ambos sexos",7
"157","15-19","08008 Argençola","Ambos sexos",8
"158","20-24","08008 Argençola","Ambos sexos",15
"159","25-29","08008 Argençola","Ambos sexos",17
"160","30-34","08008 Argençola","Ambos sexos",14
"161","35-39","08008 Argençola","Ambos sexos",12
