"","Periodo","Sexo","Provincias","value"
"2704","2001","Mujeres","41 Sevilla",890563
"2705","2000","Mujeres","41 Sevilla",884643
"2706","1999","Mujeres","41 Sevilla",879258
"2707","1998","Mujeres","41 Sevilla",873935
"2708","1997","Mujeres","41 Sevilla",NA
"2709","1996","Mujeres","41 Sevilla",868842
"2710","2016","Total","42 Soria",90040
"2711","2015","Total","42 Soria",91006
"2712","2014","Total","42 Soria",92221
"2713","2013","Total","42 Soria",93291
"2714","2012","Total","42 Soria",94522
"2715","2011","Total","42 Soria",95223
"2716","2010","Total","42 Soria",95258
"2717","2009","Total","42 Soria",95101
"2718","2008","Total","42 Soria",94646
"2719","2007","Total","42 Soria",93593
"2720","2006","Total","42 Soria",93503
"2721","2005","Total","42 Soria",92773
"2722","2004","Total","42 Soria",91652
"2723","2003","Total","42 Soria",90954
"2724","2002","Total","42 Soria",91487
"2725","2001","Total","42 Soria",91314
"2726","2000","Total","42 Soria",90911
"2727","1999","Total","42 Soria",91252
"2728","1998","Total","42 Soria",91593
"2729","1997","Total","42 Soria",NA
"2730","1996","Total","42 Soria",92848
"2731","2016","Hombres","42 Soria",45595
"2732","2015","Hombres","42 Soria",46077
"2733","2014","Hombres","42 Soria",46723
"2734","2013","Hombres","42 Soria",47336
"2735","2012","Hombres","42 Soria",47979
"2736","2011","Hombres","42 Soria",48347
"2737","2010","Hombres","42 Soria",48400
"2738","2009","Hombres","42 Soria",48286
"2739","2008","Hombres","42 Soria",47881
"2740","2007","Hombres","42 Soria",47174
"2741","2006","Hombres","42 Soria",47110
"2742","2005","Hombres","42 Soria",46693
"2743","2004","Hombres","42 Soria",46048
"2744","2003","Hombres","42 Soria",45651
"2745","2002","Hombres","42 Soria",45860
"2746","2001","Hombres","42 Soria",45649
"2747","2000","Hombres","42 Soria",45398
"2748","1999","Hombres","42 Soria",45587
"2749","1998","Hombres","42 Soria",45690
"2750","1997","Hombres","42 Soria",NA
"2751","1996","Hombres","42 Soria",46321
"2752","2016","Mujeres","42 Soria",44445
"2753","2015","Mujeres","42 Soria",44929
"2754","2014","Mujeres","42 Soria",45498
"2755","2013","Mujeres","42 Soria",45955
"2756","2012","Mujeres","42 Soria",46543
"2757","2011","Mujeres","42 Soria",46876
"2758","2010","Mujeres","42 Soria",46858
"2759","2009","Mujeres","42 Soria",46815
"2760","2008","Mujeres","42 Soria",46765
"2761","2007","Mujeres","42 Soria",46419
"2762","2006","Mujeres","42 Soria",46393
"2763","2005","Mujeres","42 Soria",46080
"2764","2004","Mujeres","42 Soria",45604
"2765","2003","Mujeres","42 Soria",45303
"2766","2002","Mujeres","42 Soria",45627
"2767","2001","Mujeres","42 Soria",45665
"2768","2000","Mujeres","42 Soria",45513
"2769","1999","Mujeres","42 Soria",45665
"2770","1998","Mujeres","42 Soria",45903
"2771","1997","Mujeres","42 Soria",NA
"2772","1996","Mujeres","42 Soria",46527
"2773","2016","Total","43 Tarragona",792299
"2774","2015","Total","43 Tarragona",795101
"2775","2014","Total","43 Tarragona",800962
"2776","2013","Total","43 Tarragona",810178
"2777","2012","Total","43 Tarragona",814199
"2778","2011","Total","43 Tarragona",811401
"2779","2010","Total","43 Tarragona",808420
"2780","2009","Total","43 Tarragona",803301
"2781","2008","Total","43 Tarragona",788895
"2782","2007","Total","43 Tarragona",757795
"2783","2006","Total","43 Tarragona",730466
"2784","2005","Total","43 Tarragona",704907
"2785","2004","Total","43 Tarragona",674144
"2786","2003","Total","43 Tarragona",654149
"2787","2002","Total","43 Tarragona",631156
"2788","2001","Total","43 Tarragona",612086
"2789","2000","Total","43 Tarragona",598533
"2790","1999","Total","43 Tarragona",588499
"2791","1998","Total","43 Tarragona",580245
"2792","1997","Total","43 Tarragona",NA
"2793","1996","Total","43 Tarragona",574676
"2794","2016","Hombres","43 Tarragona",395737
"2795","2015","Hombres","43 Tarragona",397730
"2796","2014","Hombres","43 Tarragona",401634
"2797","2013","Hombres","43 Tarragona",407451
"2798","2012","Hombres","43 Tarragona",410461
"2799","2011","Hombres","43 Tarragona",409732
"2800","2010","Hombres","43 Tarragona",409041
"2801","2009","Hombres","43 Tarragona",407904
"2802","2008","Hombres","43 Tarragona",402024
"2803","2007","Hombres","43 Tarragona",385081
"2804","2006","Hombres","43 Tarragona",370676
"2805","2005","Hombres","43 Tarragona",356897
"2806","2004","Hombres","43 Tarragona",339607
"2807","2003","Hombres","43 Tarragona",328991
"2808","2002","Hombres","43 Tarragona",316447
"2809","2001","Hombres","43 Tarragona",305689
"2810","2000","Hombres","43 Tarragona",297745
"2811","1999","Hombres","43 Tarragona",292693
"2812","1998","Hombres","43 Tarragona",288339
"2813","1997","Hombres","43 Tarragona",NA
"2814","1996","Hombres","43 Tarragona",284930
"2815","2016","Mujeres","43 Tarragona",396562
"2816","2015","Mujeres","43 Tarragona",397371
"2817","2014","Mujeres","43 Tarragona",399328
"2818","2013","Mujeres","43 Tarragona",402727
"2819","2012","Mujeres","43 Tarragona",403738
"2820","2011","Mujeres","43 Tarragona",401669
"2821","2010","Mujeres","43 Tarragona",399379
"2822","2009","Mujeres","43 Tarragona",395397
"2823","2008","Mujeres","43 Tarragona",386871
"2824","2007","Mujeres","43 Tarragona",372714
"2825","2006","Mujeres","43 Tarragona",359790
"2826","2005","Mujeres","43 Tarragona",348010
"2827","2004","Mujeres","43 Tarragona",334537
"2828","2003","Mujeres","43 Tarragona",325158
"2829","2002","Mujeres","43 Tarragona",314709
"2830","2001","Mujeres","43 Tarragona",306397
"2831","2000","Mujeres","43 Tarragona",300788
"2832","1999","Mujeres","43 Tarragona",295806
"2833","1998","Mujeres","43 Tarragona",291906
"2834","1997","Mujeres","43 Tarragona",NA
"2835","1996","Mujeres","43 Tarragona",289746
"2836","2016","Total","44 Teruel",136977
"2837","2015","Total","44 Teruel",138932
"2838","2014","Total","44 Teruel",140365
"2839","2013","Total","44 Teruel",142183
"2840","2012","Total","44 Teruel",143728
"2841","2011","Total","44 Teruel",144607
"2842","2010","Total","44 Teruel",145277
"2843","2009","Total","44 Teruel",146751
"2844","2008","Total","44 Teruel",146324
"2845","2007","Total","44 Teruel",144046
"2846","2006","Total","44 Teruel",142160
"2847","2005","Total","44 Teruel",141091
"2848","2004","Total","44 Teruel",139333
"2849","2003","Total","44 Teruel",138686
"2850","2002","Total","44 Teruel",137342
"2851","2001","Total","44 Teruel",136233
"2852","2000","Total","44 Teruel",136473
"2853","1999","Total","44 Teruel",136849
"2854","1998","Total","44 Teruel",136840
"2855","1997","Total","44 Teruel",NA
"2856","1996","Total","44 Teruel",138211
"2857","2016","Hombres","44 Teruel",69504
"2858","2015","Hombres","44 Teruel",70605
"2859","2014","Hombres","44 Teruel",71449
"2860","2013","Hombres","44 Teruel",72529
"2861","2012","Hombres","44 Teruel",73478
"2862","2011","Hombres","44 Teruel",74008
"2863","2010","Hombres","44 Teruel",74563
"2864","2009","Hombres","44 Teruel",75733
"2865","2008","Hombres","44 Teruel",75777
"2866","2007","Hombres","44 Teruel",74262
"2867","2006","Hombres","44 Teruel",73069
"2868","2005","Hombres","44 Teruel",72273
"2869","2004","Hombres","44 Teruel",71073
"2870","2003","Hombres","44 Teruel",70641
"2871","2002","Hombres","44 Teruel",69682
"2872","2001","Hombres","44 Teruel",68877
"2873","2000","Hombres","44 Teruel",68900
"2874","1999","Hombres","44 Teruel",69032
"2875","1998","Hombres","44 Teruel",68995
"2876","1997","Hombres","44 Teruel",NA
"2877","1996","Hombres","44 Teruel",69530
"2878","2016","Mujeres","44 Teruel",67473
"2879","2015","Mujeres","44 Teruel",68327
"2880","2014","Mujeres","44 Teruel",68916
"2881","2013","Mujeres","44 Teruel",69654
"2882","2012","Mujeres","44 Teruel",70250
"2883","2011","Mujeres","44 Teruel",70599
"2884","2010","Mujeres","44 Teruel",70714
"2885","2009","Mujeres","44 Teruel",71018
"2886","2008","Mujeres","44 Teruel",70547
"2887","2007","Mujeres","44 Teruel",69784
"2888","2006","Mujeres","44 Teruel",69091
"2889","2005","Mujeres","44 Teruel",68818
"2890","2004","Mujeres","44 Teruel",68260
"2891","2003","Mujeres","44 Teruel",68045
"2892","2002","Mujeres","44 Teruel",67660
"2893","2001","Mujeres","44 Teruel",67356
"2894","2000","Mujeres","44 Teruel",67573
"2895","1999","Mujeres","44 Teruel",67817
"2896","1998","Mujeres","44 Teruel",67845
"2897","1997","Mujeres","44 Teruel",NA
"2898","1996","Mujeres","44 Teruel",68681
"2899","2016","Total","45 Toledo",688672
"2900","2015","Total","45 Toledo",693371
"2901","2014","Total","45 Toledo",699136
"2902","2013","Total","45 Toledo",706407
"2903","2012","Total","45 Toledo",711228
"2904","2011","Total","45 Toledo",707242
"2905","2010","Total","45 Toledo",697959
"2906","2009","Total","45 Toledo",689635
"2907","2008","Total","45 Toledo",670203
"2908","2007","Total","45 Toledo",639621
"2909","2006","Total","45 Toledo",615618
"2910","2005","Total","45 Toledo",598256
"2911","2004","Total","45 Toledo",578060
"2912","2003","Total","45 Toledo",563099
"2913","2002","Total","45 Toledo",546538
"2914","2001","Total","45 Toledo",536131
"2915","2000","Total","45 Toledo",527965
"2916","1999","Total","45 Toledo",523459
"2917","1998","Total","45 Toledo",519664
"2918","1997","Total","45 Toledo",NA
"2919","1996","Total","45 Toledo",515880
"2920","2016","Hombres","45 Toledo",346672
"2921","2015","Hombres","45 Toledo",349553
"2922","2014","Hombres","45 Toledo",352949
"2923","2013","Hombres","45 Toledo",357149
"2924","2012","Hombres","45 Toledo",360472
"2925","2011","Hombres","45 Toledo",358536
"2926","2010","Hombres","45 Toledo",354101
"2927","2009","Hombres","45 Toledo",350578
"2928","2008","Hombres","45 Toledo",341277
"2929","2007","Hombres","45 Toledo",323992
"2930","2006","Hombres","45 Toledo",310832
"2931","2005","Hombres","45 Toledo",301563
"2932","2004","Hombres","45 Toledo",290395
"2933","2003","Hombres","45 Toledo",282453
"2934","2002","Hombres","45 Toledo",273893
"2935","2001","Hombres","45 Toledo",268082
"2936","2000","Hombres","45 Toledo",263194
"2937","1999","Hombres","45 Toledo",260884
"2938","1998","Hombres","45 Toledo",258829
"2939","1997","Hombres","45 Toledo",NA
"2940","1996","Hombres","45 Toledo",256792
"2941","2016","Mujeres","45 Toledo",342000
"2942","2015","Mujeres","45 Toledo",343818
"2943","2014","Mujeres","45 Toledo",346187
"2944","2013","Mujeres","45 Toledo",349258
"2945","2012","Mujeres","45 Toledo",350756
"2946","2011","Mujeres","45 Toledo",348706
"2947","2010","Mujeres","45 Toledo",343858
"2948","2009","Mujeres","45 Toledo",339057
"2949","2008","Mujeres","45 Toledo",328926
"2950","2007","Mujeres","45 Toledo",315629
"2951","2006","Mujeres","45 Toledo",304786
"2952","2005","Mujeres","45 Toledo",296693
"2953","2004","Mujeres","45 Toledo",287665
"2954","2003","Mujeres","45 Toledo",280646
"2955","2002","Mujeres","45 Toledo",272645
"2956","2001","Mujeres","45 Toledo",268049
"2957","2000","Mujeres","45 Toledo",264771
"2958","1999","Mujeres","45 Toledo",262575
"2959","1998","Mujeres","45 Toledo",260835
"2960","1997","Mujeres","45 Toledo",NA
"2961","1996","Mujeres","45 Toledo",259088
"2962","2016","Total","46 Valencia/València",2544264
"2963","2015","Total","46 Valencia/València",2543315
"2964","2014","Total","46 Valencia/València",2548898
"2965","2013","Total","46 Valencia/València",2566474
"2966","2012","Total","46 Valencia/València",2580792
"2967","2011","Total","46 Valencia/València",2578719
"2968","2010","Total","46 Valencia/València",2581147
"2969","2009","Total","46 Valencia/València",2575362
"2970","2008","Total","46 Valencia/València",2543209
"2971","2007","Total","46 Valencia/València",2486483
"2972","2006","Total","46 Valencia/València",2463592
"2973","2005","Total","46 Valencia/València",2416628
"2974","2004","Total","46 Valencia/València",2358919
"2975","2003","Total","46 Valencia/València",2320297
"2976","2002","Total","46 Valencia/València",2267503
"2977","2001","Total","46 Valencia/València",2227170
"2978","2000","Total","46 Valencia/València",2201200
"2979","1999","Total","46 Valencia/València",2187633
"2980","1998","Total","46 Valencia/València",2172796
"2981","1997","Total","46 Valencia/València",NA
"2982","1996","Total","46 Valencia/València",2172840
"2983","2016","Hombres","46 Valencia/València",1249773
"2984","2015","Hombres","46 Valencia/València",1250165
"2985","2014","Hombres","46 Valencia/València",1253758
"2986","2013","Hombres","46 Valencia/València",1264620
"2987","2012","Hombres","46 Valencia/València",1274240
"2988","2011","Hombres","46 Valencia/València",1274365
"2989","2010","Hombres","46 Valencia/València",1277726
"2990","2009","Hombres","46 Valencia/València",1276238
"2991","2008","Hombres","46 Valencia/València",1261081
"2992","2007","Hombres","46 Valencia/València",1230628
"2993","2006","Hombres","46 Valencia/València",1220105
"2994","2005","Hombres","46 Valencia/València",1193569
"2995","2004","Hombres","46 Valencia/València",1162145
"2996","2003","Hombres","46 Valencia/València",1141901
"2997","2002","Hombres","46 Valencia/València",1113300
"2998","2001","Hombres","46 Valencia/València",1090165
"2999","2000","Hombres","46 Valencia/València",1074701
"3000","1999","Hombres","46 Valencia/València",1067747
"3001","1998","Hombres","46 Valencia/València",1060156
"3002","1997","Hombres","46 Valencia/València",NA
"3003","1996","Hombres","46 Valencia/València",1059657
"3004","2016","Mujeres","46 Valencia/València",1294491
"3005","2015","Mujeres","46 Valencia/València",1293150
"3006","2014","Mujeres","46 Valencia/València",1295140
"3007","2013","Mujeres","46 Valencia/València",1301854
"3008","2012","Mujeres","46 Valencia/València",1306552
"3009","2011","Mujeres","46 Valencia/València",1304354
"3010","2010","Mujeres","46 Valencia/València",1303421
"3011","2009","Mujeres","46 Valencia/València",1299124
"3012","2008","Mujeres","46 Valencia/València",1282128
"3013","2007","Mujeres","46 Valencia/València",1255855
"3014","2006","Mujeres","46 Valencia/València",1243487
"3015","2005","Mujeres","46 Valencia/València",1223059
"3016","2004","Mujeres","46 Valencia/València",1196774
"3017","2003","Mujeres","46 Valencia/València",1178396
"3018","2002","Mujeres","46 Valencia/València",1154203
"3019","2001","Mujeres","46 Valencia/València",1137005
"3020","2000","Mujeres","46 Valencia/València",1126499
"3021","1999","Mujeres","46 Valencia/València",1119886
"3022","1998","Mujeres","46 Valencia/València",1112640
"3023","1997","Mujeres","46 Valencia/València",NA
"3024","1996","Mujeres","46 Valencia/València",1113183
"3025","2016","Total","47 Valladolid",523679
"3026","2015","Total","47 Valladolid",526288
"3027","2014","Total","47 Valladolid",529157
"3028","2013","Total","47 Valladolid",532284
"3029","2012","Total","47 Valladolid",534280
"3030","2011","Total","47 Valladolid",534874
"3031","2010","Total","47 Valladolid",533640
"3032","2009","Total","47 Valladolid",532575
"3033","2008","Total","47 Valladolid",529019
"3034","2007","Total","47 Valladolid",521661
"3035","2006","Total","47 Valladolid",519249
"3036","2005","Total","47 Valladolid",514674
"3037","2004","Total","47 Valladolid",510863
"3038","2003","Total","47 Valladolid",506302
"3039","2002","Total","47 Valladolid",501157
"3040","2001","Total","47 Valladolid",497961
"3041","2000","Total","47 Valladolid",495690
"3042","1999","Total","47 Valladolid",494594
"3043","1998","Total","47 Valladolid",492029
"3044","1997","Total","47 Valladolid",NA
"3045","1996","Total","47 Valladolid",490205
"3046","2016","Hombres","47 Valladolid",255591
"3047","2015","Hombres","47 Valladolid",256999
"3048","2014","Hombres","47 Valladolid",258865
"3049","2013","Hombres","47 Valladolid",260619
"3050","2012","Hombres","47 Valladolid",261941
"3051","2011","Hombres","47 Valladolid",262609
"3052","2010","Hombres","47 Valladolid",262141
"3053","2009","Hombres","47 Valladolid",261785
"3054","2008","Hombres","47 Valladolid",260075
"3055","2007","Hombres","47 Valladolid",255983
"3056","2006","Hombres","47 Valladolid",254897
"3057","2005","Hombres","47 Valladolid",252689
"3058","2004","Hombres","47 Valladolid",250782
"3059","2003","Hombres","47 Valladolid",248614
"3060","2002","Hombres","47 Valladolid",245858
"3061","2001","Hombres","47 Valladolid",244031
"3062","2000","Hombres","47 Valladolid",242888
"3063","1999","Hombres","47 Valladolid",242546
"3064","1998","Hombres","47 Valladolid",241382
"3065","1997","Hombres","47 Valladolid",NA
"3066","1996","Hombres","47 Valladolid",240565
"3067","2016","Mujeres","47 Valladolid",268088
"3068","2015","Mujeres","47 Valladolid",269289
"3069","2014","Mujeres","47 Valladolid",270292
"3070","2013","Mujeres","47 Valladolid",271665
"3071","2012","Mujeres","47 Valladolid",272339
"3072","2011","Mujeres","47 Valladolid",272265
"3073","2010","Mujeres","47 Valladolid",271499
"3074","2009","Mujeres","47 Valladolid",270790
"3075","2008","Mujeres","47 Valladolid",268944
"3076","2007","Mujeres","47 Valladolid",265678
"3077","2006","Mujeres","47 Valladolid",264352
"3078","2005","Mujeres","47 Valladolid",261985
"3079","2004","Mujeres","47 Valladolid",260081
"3080","2003","Mujeres","47 Valladolid",257688
"3081","2002","Mujeres","47 Valladolid",255299
"3082","2001","Mujeres","47 Valladolid",253930
"3083","2000","Mujeres","47 Valladolid",252802
"3084","1999","Mujeres","47 Valladolid",252048
"3085","1998","Mujeres","47 Valladolid",250647
"3086","1997","Mujeres","47 Valladolid",NA
"3087","1996","Mujeres","47 Valladolid",249640
"3088","2016","Total","49 Zamora",180406
"3089","2015","Total","49 Zamora",183436
"3090","2014","Total","49 Zamora",185432
"3091","2013","Total","49 Zamora",188270
"3092","2012","Total","49 Zamora",191612
"3093","2011","Total","49 Zamora",193383
"3094","2010","Total","49 Zamora",194214
"3095","2009","Total","49 Zamora",195665
"3096","2008","Total","49 Zamora",197221
"3097","2007","Total","49 Zamora",197237
"3098","2006","Total","49 Zamora",197492
"3099","2005","Total","49 Zamora",198045
"3100","2004","Total","49 Zamora",198524
"3101","2003","Total","49 Zamora",199688
"3102","2002","Total","49 Zamora",200678
"3103","2001","Total","49 Zamora",202356
"3104","2000","Total","49 Zamora",203469
"3105","1999","Total","49 Zamora",204650
"3106","1998","Total","49 Zamora",205201
"3107","1997","Total","49 Zamora",NA
"3108","1996","Total","49 Zamora",207475
"3109","2016","Hombres","49 Zamora",89321
"3110","2015","Hombres","49 Zamora",90888
"3111","2014","Hombres","49 Zamora",91871
"3112","2013","Hombres","49 Zamora",93336
"3113","2012","Hombres","49 Zamora",95100
"3114","2011","Hombres","49 Zamora",95993
"3115","2010","Hombres","49 Zamora",96427
"3116","2009","Hombres","49 Zamora",97144
"3117","2008","Hombres","49 Zamora",98103
"3118","2007","Hombres","49 Zamora",97807
"3119","2006","Hombres","49 Zamora",97766
"3120","2005","Hombres","49 Zamora",97941
"3121","2004","Hombres","49 Zamora",98105
"3122","2003","Hombres","49 Zamora",98684
"3123","2002","Hombres","49 Zamora",99071
"3124","2001","Hombres","49 Zamora",99829
"3125","2000","Hombres","49 Zamora",100258
"3126","1999","Hombres","49 Zamora",100876
"3127","1998","Hombres","49 Zamora",101213
"3128","1997","Hombres","49 Zamora",NA
"3129","1996","Hombres","49 Zamora",102214
"3130","2016","Mujeres","49 Zamora",91085
"3131","2015","Mujeres","49 Zamora",92548
"3132","2014","Mujeres","49 Zamora",93561
"3133","2013","Mujeres","49 Zamora",94934
"3134","2012","Mujeres","49 Zamora",96512
"3135","2011","Mujeres","49 Zamora",97390
"3136","2010","Mujeres","49 Zamora",97787
"3137","2009","Mujeres","49 Zamora",98521
"3138","2008","Mujeres","49 Zamora",99118
"3139","2007","Mujeres","49 Zamora",99430
"3140","2006","Mujeres","49 Zamora",99726
"3141","2005","Mujeres","49 Zamora",100104
"3142","2004","Mujeres","49 Zamora",100419
"3143","2003","Mujeres","49 Zamora",101004
"3144","2002","Mujeres","49 Zamora",101607
"3145","2001","Mujeres","49 Zamora",102527
"3146","2000","Mujeres","49 Zamora",103211
"3147","1999","Mujeres","49 Zamora",103774
"3148","1998","Mujeres","49 Zamora",103988
"3149","1997","Mujeres","49 Zamora",NA
"3150","1996","Mujeres","49 Zamora",105261
"3151","2016","Total","50 Zaragoza",950507
"3152","2015","Total","50 Zaragoza",956006
"3153","2014","Total","50 Zaragoza",960111
"3154","2013","Total","50 Zaragoza",978638
"3155","2012","Total","50 Zaragoza",978130
"3156","2011","Total","50 Zaragoza",973325
"3157","2010","Total","50 Zaragoza",973252
"3158","2009","Total","50 Zaragoza",970313
"3159","2008","Total","50 Zaragoza",955323
"3160","2007","Total","50 Zaragoza",932502
"3161","2006","Total","50 Zaragoza",917288
"3162","2005","Total","50 Zaragoza",912072
"3163","2004","Total","50 Zaragoza",897350
"3164","2003","Total","50 Zaragoza",880118
"3165","2002","Total","50 Zaragoza",871209
"3166","2001","Total","50 Zaragoza",857565
"3167","2000","Total","50 Zaragoza",848006
"3168","1999","Total","50 Zaragoza",844571
"3169","1998","Total","50 Zaragoza",841438
"3170","1997","Total","50 Zaragoza",NA
"3171","1996","Total","50 Zaragoza",842419
"3172","2016","Hombres","50 Zaragoza",466105
"3173","2015","Hombres","50 Zaragoza",469456
"3174","2014","Hombres","50 Zaragoza",471675
"3175","2013","Hombres","50 Zaragoza",482677
"3176","2012","Hombres","50 Zaragoza",482908
"3177","2011","Hombres","50 Zaragoza",481054
"3178","2010","Hombres","50 Zaragoza",482090
"3179","2009","Hombres","50 Zaragoza",481456
"3180","2008","Hombres","50 Zaragoza",473687
"3181","2007","Hombres","50 Zaragoza",460756
"3182","2006","Hombres","50 Zaragoza",452607
"3183","2005","Hombres","50 Zaragoza",450006
"3184","2004","Hombres","50 Zaragoza",441840
"3185","2003","Hombres","50 Zaragoza",432607
"3186","2002","Hombres","50 Zaragoza",427901
"3187","2001","Hombres","50 Zaragoza",420094
"3188","2000","Hombres","50 Zaragoza",414002
"3189","1999","Hombres","50 Zaragoza",412194
"3190","1998","Hombres","50 Zaragoza",410517
"3191","1997","Hombres","50 Zaragoza",NA
"3192","1996","Hombres","50 Zaragoza",411029
"3193","2016","Mujeres","50 Zaragoza",484402
"3194","2015","Mujeres","50 Zaragoza",486550
"3195","2014","Mujeres","50 Zaragoza",488436
"3196","2013","Mujeres","50 Zaragoza",495961
"3197","2012","Mujeres","50 Zaragoza",495222
"3198","2011","Mujeres","50 Zaragoza",492271
"3199","2010","Mujeres","50 Zaragoza",491162
"3200","2009","Mujeres","50 Zaragoza",488857
"3201","2008","Mujeres","50 Zaragoza",481636
"3202","2007","Mujeres","50 Zaragoza",471746
"3203","2006","Mujeres","50 Zaragoza",464681
"3204","2005","Mujeres","50 Zaragoza",462066
"3205","2004","Mujeres","50 Zaragoza",455510
"3206","2003","Mujeres","50 Zaragoza",447511
"3207","2002","Mujeres","50 Zaragoza",443308
"3208","2001","Mujeres","50 Zaragoza",437471
"3209","2000","Mujeres","50 Zaragoza",434004
"3210","1999","Mujeres","50 Zaragoza",432377
"3211","1998","Mujeres","50 Zaragoza",430921
"3212","1997","Mujeres","50 Zaragoza",NA
"3213","1996","Mujeres","50 Zaragoza",431390
"3214","2016","Total","51 Ceuta",84519
"3215","2015","Total","51 Ceuta",84263
"3216","2014","Total","51 Ceuta",84963
"3217","2013","Total","51 Ceuta",84180
"3218","2012","Total","51 Ceuta",84018
"3219","2011","Total","51 Ceuta",82376
"3220","2010","Total","51 Ceuta",80579
"3221","2009","Total","51 Ceuta",78674
"3222","2008","Total","51 Ceuta",77389
"3223","2007","Total","51 Ceuta",76603
"3224","2006","Total","51 Ceuta",75861
"3225","2005","Total","51 Ceuta",75276
"3226","2004","Total","51 Ceuta",74654
"3227","2003","Total","51 Ceuta",74931
"3228","2002","Total","51 Ceuta",76152
"3229","2001","Total","51 Ceuta",75694
"3230","2000","Total","51 Ceuta",75241
"3231","1999","Total","51 Ceuta",73704
"3232","1998","Total","51 Ceuta",72117
"3233","1997","Total","51 Ceuta",NA
"3234","1996","Total","51 Ceuta",68796
"3235","2016","Hombres","51 Ceuta",42846
"3236","2015","Hombres","51 Ceuta",42757
"3237","2014","Hombres","51 Ceuta",43354
"3238","2013","Hombres","51 Ceuta",43060
"3239","2012","Hombres","51 Ceuta",42948
"3240","2011","Hombres","51 Ceuta",42165
"3241","2010","Hombres","51 Ceuta",41269
"3242","2009","Hombres","51 Ceuta",40118
"3243","2008","Hombres","51 Ceuta",39385
"3244","2007","Hombres","51 Ceuta",38913
"3245","2006","Hombres","51 Ceuta",38581
"3246","2005","Hombres","51 Ceuta",38315
"3247","2004","Hombres","51 Ceuta",38113
"3248","2003","Hombres","51 Ceuta",38395
"3249","2002","Hombres","51 Ceuta",39195
"3250","2001","Hombres","51 Ceuta",38884
"3251","2000","Hombres","51 Ceuta",38497
"3252","1999","Hombres","51 Ceuta",37115
"3253","1998","Hombres","51 Ceuta",36102
"3254","1997","Hombres","51 Ceuta",NA
"3255","1996","Hombres","51 Ceuta",34229
"3256","2016","Mujeres","51 Ceuta",41673
"3257","2015","Mujeres","51 Ceuta",41506
"3258","2014","Mujeres","51 Ceuta",41609
"3259","2013","Mujeres","51 Ceuta",41120
"3260","2012","Mujeres","51 Ceuta",41070
"3261","2011","Mujeres","51 Ceuta",40211
"3262","2010","Mujeres","51 Ceuta",39310
"3263","2009","Mujeres","51 Ceuta",38556
"3264","2008","Mujeres","51 Ceuta",38004
"3265","2007","Mujeres","51 Ceuta",37690
"3266","2006","Mujeres","51 Ceuta",37280
"3267","2005","Mujeres","51 Ceuta",36961
"3268","2004","Mujeres","51 Ceuta",36541
"3269","2003","Mujeres","51 Ceuta",36536
"3270","2002","Mujeres","51 Ceuta",36957
"3271","2001","Mujeres","51 Ceuta",36810
"3272","2000","Mujeres","51 Ceuta",36744
"3273","1999","Mujeres","51 Ceuta",36589
"3274","1998","Mujeres","51 Ceuta",36015
"3275","1997","Mujeres","51 Ceuta",NA
"3276","1996","Mujeres","51 Ceuta",34567
"3277","2016","Total","52 Melilla",86026
"3278","2015","Total","52 Melilla",85584
"3279","2014","Total","52 Melilla",84509
"3280","2013","Total","52 Melilla",83679
"3281","2012","Total","52 Melilla",80802
"3282","2011","Total","52 Melilla",78476
"3283","2010","Total","52 Melilla",76034
"3284","2009","Total","52 Melilla",73460
"3285","2008","Total","52 Melilla",71448
"3286","2007","Total","52 Melilla",69440
"3287","2006","Total","52 Melilla",66871
"3288","2005","Total","52 Melilla",65488
"3289","2004","Total","52 Melilla",68016
"3290","2003","Total","52 Melilla",68463
"3291","2002","Total","52 Melilla",69184
"3292","2001","Total","52 Melilla",68789
"3293","2000","Total","52 Melilla",66263
"3294","1999","Total","52 Melilla",56929
"3295","1998","Total","52 Melilla",60108
"3296","1997","Total","52 Melilla",NA
"3297","1996","Total","52 Melilla",59576
"3298","2016","Hombres","52 Melilla",43768
"3299","2015","Hombres","52 Melilla",43593
"3300","2014","Hombres","52 Melilla",43075
"3301","2013","Hombres","52 Melilla",43017
"3302","2012","Hombres","52 Melilla",41569
"3303","2011","Hombres","52 Melilla",40256
"3304","2010","Hombres","52 Melilla",38819
"3305","2009","Hombres","52 Melilla",37244
"3306","2008","Hombres","52 Melilla",36336
"3307","2007","Hombres","52 Melilla",35208
"3308","2006","Hombres","52 Melilla",33962
"3309","2005","Hombres","52 Melilla",33322
"3310","2004","Hombres","52 Melilla",34455
"3311","2003","Hombres","52 Melilla",34737
"3312","2002","Hombres","52 Melilla",35178
"3313","2001","Hombres","52 Melilla",35027
"3314","2000","Hombres","52 Melilla",33976
"3315","1999","Hombres","52 Melilla",28952
"3316","1998","Hombres","52 Melilla",30569
"3317","1997","Hombres","52 Melilla",NA
"3318","1996","Hombres","52 Melilla",29647
"3319","2016","Mujeres","52 Melilla",42258
"3320","2015","Mujeres","52 Melilla",41991
"3321","2014","Mujeres","52 Melilla",41434
"3322","2013","Mujeres","52 Melilla",40662
"3323","2012","Mujeres","52 Melilla",39233
"3324","2011","Mujeres","52 Melilla",38220
"3325","2010","Mujeres","52 Melilla",37215
"3326","2009","Mujeres","52 Melilla",36216
"3327","2008","Mujeres","52 Melilla",35112
"3328","2007","Mujeres","52 Melilla",34232
